英文标准词	采用中文	译名状态	依据	定位	编辑说明
Ordo Xenos	异形审判庭	用户指定	原书英文语境	第101—123篇	沿用现稿；原稿别名仅在全书首次出现，已由主审处理，本范围不重复。
Ordo Hereticus	异端审判庭	用户指定	原书英文语境	第101—123篇	沿用现稿；原稿别名仅在全书首次出现，已由主审处理，本范围不重复。
Ordo Malleus	恶魔审判庭	用户指定	原书英文语境	第101—123篇	沿用现稿；原稿别名仅在全书首次出现，已由主审处理，本范围不重复。
Decree Passive	禁武法令	暂定	原书英文语境	第101—123篇	原稿兼有被动法令、驯服教令；取反映禁止教会武装男性的暂译。
Witch Hunters	猎巫者	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Thorians	托尔派	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Promeans	普罗密斯派	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Horusians	荷鲁斯派	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Divine Avatar	神圣化身	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Incunabla	因库纳布拉	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Tyrama Secundus	泰拉玛二号	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Inquisitorial Representative	审判庭代表	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Inquisitor Lord	领主审判官	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Grandmaster	大导师	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Master	导师	暂定	原书英文语境	第101—123篇	只限审判庭地区组织职衔，不与 Sensei 合并。
Novitiate	见习者	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Neophyte	新进者	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Approbator	考核者	暂定	原书英文语境	第101—123篇	候选审判官的学徒称谓，暂定。
Legate Investigator	调查使节	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Agent of Reliquary 26	第26圣物库特工	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Metallican Gunslinger	梅塔利卡枪手	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Malfian Bloodsworn	马尔菲安血誓者	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Drill Abbot	训导院长	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Verminspeaker	虫鼠语者	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Techsorcist	技术驱魔师	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Pyroclast	焚火者	暂定	原书英文语境	第101—123篇	105 篇人员类型；不得套普通名词火山岩，也不据此替换其他同名装备。
Ecclesiarch	教宗	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Cardinal	红衣主教	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Confessor	告解者	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Preacher	传道士	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Missionary	传教士	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Cenobite	共修修士	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Militant-Apostolic	战争使徒	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Creed Temporal	世俗教务部	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Synod Ministra	辅圣会	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Euphrati Keeler	尤弗拉蒂·琪乐	暂定	原书英文语境	第101—123篇	Euphrati 是人名，不沿用河名幼发拉底；暂定音译。
The Beheading	斩首事件	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Temple of the Saviour Emperor	救世帝皇圣堂	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Confederation of Light	光明同盟	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Lectitio Divinitatus	神性论	暂定·官方待核	所给英文底稿；当前审校与主审统一决定	第101—175篇	书名《神性论》；同名信仰称神性论信仰，按主审已定全书译名。
Missionaria Galaxia	银河传教团	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Missionarus Galaxia	银河传教团	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Ministorum Galaxia	银河传教团	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Confessor-Militant	军务告解者	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Missionary Vessel	传教船	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Mission	教团／传教机构	暂定	原书英文语境	第101—123篇	修女会编制称教团；教会学校医院等慈善传教设施称传教机构，按语境区分。
Cults of the Voice	圣声教派	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Voice of the Emperor	帝皇之声	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Rawketh	罗凯斯	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Marduk	马尔杜克	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Acts of Faith	信仰伟业	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Abbess of the Adepta Sororitas	修女会总院长	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
Prioress	院长	暂定	原书英文语境	第101—123篇	本批统一译名，未声称官方认证。
