英文标准词	采用中文	译名状态	依据	定位	编辑说明
Lakrimae	泪滴（动力镰刀）	暂定·官方待核	所给英文底稿	篇1151	按英文语境沿现稿或修正；官方对应待核。
Power Scythe	动力镰刀	暂定·官方待核	所给英文底稿	篇1151	按英文语境沿现稿或修正；官方对应待核。
Power Lance	动力长枪	暂定·官方待核	所给英文底稿	篇1152	按英文语境沿现稿或修正；官方对应待核。
Power Spear	动力长矛	暂定·官方待核	所给英文底稿	篇1152	按英文语境沿现稿或修正；官方对应待核。
Falling-Star Pattern Power Spear	流星型动力长矛	暂定·官方待核	所给英文底稿	篇1152	按英文语境沿现稿或修正；官方对应待核。
Kontos Power Lance	孔托斯动力长枪	暂定·官方待核	所给英文底稿	篇1152	按英文语境沿现稿或修正；官方对应待核。
Interceptor Lance	拦截者长枪	暂定·官方待核	所给英文底稿	篇1152	按英文语境沿现稿或修正；官方对应待核。
Star Glaive	星辰长刀	暂定·官方待核	所给英文底稿	篇1152	按英文语境沿现稿或修正；官方对应待核。
Banshee's Keen	女妖之嚎	暂定·官方待核	所给英文底稿	篇1152	按英文语境沿现稿或修正；官方对应待核。
Zhai Morenn	毁灭之刃	暂定·官方待核	所给英文底稿	篇1152	按英文语境沿现稿或修正；官方对应待核。
Power Maul	动力槌	暂定·官方待核	所给英文底稿	篇1153	按英文语境沿现稿或修正；官方对应待核。
Shock Maul	震撼槌	暂定·官方待核	所给英文底稿	篇1153	按英文语境沿现稿或修正；官方对应待核。
Worldbreaker	破世者	暂定·官方待核	所给英文底稿	篇1153	按英文语境沿现稿或修正；官方对应待核。
Illuminarum	启明之光	暂定·官方待核	所给英文底稿	篇1153	按英文语境沿现稿或修正；官方对应待核。
Weight of Duty	职责之重	暂定·官方待核	所给英文底稿	篇1153	按英文语境沿现稿或修正；官方对应待核。
Lost Mace of Corswain	考斯韦恩的失落之槌	暂定·官方待核	所给英文底稿	篇1153	按英文语境沿现稿或修正；官方对应待核。
Thunder Hammer	雷霆锤	暂定·官方待核	所给英文底稿	篇1154	按英文语境沿现稿或修正；官方对应待核。
Heavy Thunder Hammer	重型雷霆锤	暂定·官方待核	所给英文底稿	篇1154	按英文语境沿现稿或修正；官方对应待核。
Fist of Dorn	多恩之拳	暂定·官方待核	所给英文底稿	篇1154	按英文语境沿现稿或修正；官方对应待核。
Maekr	迈凯尔	暂定·官方待核	所给英文底稿	篇1154	按英文语境沿现稿或修正；官方对应待核。
Hammer of Baal	巴尔之锤	暂定·官方待核	所给英文底稿	篇1154	按英文语境沿现稿或修正；官方对应待核。
Veikskell	维克斯凯尔	暂定·官方待核	所给英文底稿	篇1154	按英文语境沿现稿或修正；官方对应待核。
Benediction of Fury	狂怒祝福	暂定·官方待核	所给英文底稿	篇1155	按英文语境沿现稿或修正；官方对应待核。
Empathokinetic Circuitry	情绪感应动力回路	暂定·官方待核	所给英文底稿	篇1155	按英文语境沿现稿或修正；官方对应待核。
Emperor's Lightning Claw	帝皇闪电爪	暂定·官方待核	所给英文底稿	篇1156	按英文语境沿现稿或修正；官方对应待核。
Mortis Machina	机械之死	暂定·官方待核	所给英文底稿	篇1157	按英文语境沿现稿或修正；官方对应待核。
Blade of Triumph	胜利之刃	暂定·官方待核	所给英文底稿	篇1158	按英文语境沿现稿或修正；官方对应待核。
Fealty	忠诚	暂定·官方待核	所给英文底稿	篇1159	按英文语境沿现稿或修正；官方对应待核。
Caedere Weapon	屠戮武器	暂定·官方待核	所给英文底稿	篇1160	按英文语境沿现稿或修正；官方对应待核。
Meteor Hammer	流星锤	暂定·官方待核	所给英文底稿	篇1160	按英文语境沿现稿或修正；官方对应待核。
Excoriator Chainaxe	剥皮者链锯斧	暂定·官方待核	所给英文底稿	篇1160	按英文语境沿现稿或修正；官方对应待核。
Twin Falax Blades	双法拉克斯刃	暂定·官方待核	所给英文底稿	篇1160	按英文语境沿现稿或修正；官方对应待核。
Barb-hook Lash	倒钩鞭	暂定·官方待核	所给英文底稿	篇1160	按英文语境沿现稿或修正；官方对应待核。
Shock Weapon	电击武器	暂定·官方待核	所给英文底稿	篇1161	按英文语境沿现稿或修正；官方对应待核。
Command Baton	指挥棒	暂定·官方待核	所给英文底稿	篇1161	按英文语境沿现稿或修正；官方对应待核。
Shock Baton	电棍	暂定·官方待核	所给英文底稿	篇1161	按英文语境沿现稿或修正；官方对应待核。
Shock Glove	电击手套	暂定·官方待核	所给英文底稿	篇1161	按英文语境沿现稿或修正；官方对应待核。
Shock Stave	电击杖	暂定·官方待核	所给英文底稿	篇1161	按英文语境沿现稿或修正；官方对应待核。
Electro-Goad	电击刺棒	暂定·官方待核	所给英文底稿	篇1161	按英文语境沿现稿或修正；官方对应待核。
Lightning Chain	闪电锁链	暂定·官方待核	所给英文底稿	篇1161	按英文语境沿现稿或修正；官方对应待核。
Lightning Gauntlets	闪电臂铠	暂定·官方待核	所给英文底稿	篇1161	按英文语境沿现稿或修正；官方对应待核。
Shock Gauntlets	电击臂铠	暂定·官方待核	所给英文底稿	篇1161	按英文语境沿现稿或修正；官方对应待核。
Daemonblade	恶魔之刃	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Daemon Weapon	恶魔武器	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
A'rgath	阿'加斯	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Blade of Blood	鲜血之刃	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Bloodflail	鲜血连枷	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Brazen Skull	黄铜颅骨	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Crimson Crown	深红王冠	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Deathdealer	死亡贩子	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Dreadaxe	畏惧之斧	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Gorewhip	凝血之鞭	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Goreseeker	凝血追踪者	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Great Axe of Khorne	恐虐巨斧	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Great Cleaver of Khorne	恐虐巨刃	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Lash of Khorne	恐虐之鞭	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
Rod of Khorne	恐虐之杖	暂定·官方待核	所给英文底稿	篇1162	按英文语境沿现稿或修正；官方对应待核。
