英文标准词	采用中文	译名状态	依据	定位	编辑说明
Revenant Legion	归来者军团	暂定·官方待核	所给英文底稿	A0403-B0061	沿用本稿名称。
Cult of the Reborn	重生教派	暂定·官方待核	所给英文底稿	A0403-B0059	第九军团早期追随者组织。
Day of Revelation	启示之日	暂定·官方待核	所给英文底稿	A0403-B0072	军事行动称号；非启示录书名。
Angels of Excelsis	崇高天使	暂定·官方待核	所给英文底稿	A0403-B0026	源文与 Angels Excelsis 并列，暂不合并。
Diamor	迪亚莫尔	暂定·官方待核	所给英文底稿	A0403-B0154	与 Cryptus 冥府区分。
Rite of Holos	霍洛斯仪式	暂定·官方待核	所给英文底稿	A0403-B0170	Holos 非 halo，改用音译。
Cathedral of the Mark	印记大教堂	暂定·官方待核	所给英文底稿	A0403-B0096	Mark 不是人名。
Cryptus	冥府	暂定·官方待核	所给英文底稿	A0403-B0126	沿用本稿；未查得官译。
Karash	卡拉什	暂定·官方待核	所给英文底稿	A0403-B0170	血与酒混合饮料。
Exsanguinator	放血器	暂定·官方待核	所给英文底稿	A0403-B0181	医疗与基因种子回收器械，不是战团名放血者。
Sanguinary Brotherhood	圣血兄弟会	暂定·官方待核	所给英文底稿	A0403-B0186	跨后裔战团共同体。
Spinewyrm	脊龙	暂定·官方待核	所给英文底稿	A0403-B0197	生物名暂译；原译刺虫群误把 fauna 视作群体名一部分。
Malak	马拉克	暂定·官方待核	所给英文底稿	A0403-B0208	军团最外层普通战士。
Powers	能天使	暂定·官方待核	所给英文底稿	A0403-B0218	圣血天使军团基层军事职衔，原译与 Virtues 颠倒。
Virtues	力天使	暂定·官方待核	所给英文底稿	A0403-B0218	圣血天使军团典范职衔，与 Powers 区分。
Archein	统军	暂定·官方待核	所给英文底稿	A0403-B0218	军势指挥官，沿用。
Dominion	主天使	暂定·官方待核	所给英文底稿	A0403-B0218	圣血天使连队指挥职衔。
Seraphs	六翼天使	暂定·官方待核	所给英文底稿	A0403-B0212	第一界战士别称。
Red Council	血红议会	暂定·官方待核	所给英文底稿	A0403-B0231	最高军事决策机构。
Council of Blood	鲜血议会	暂定·官方待核	所给英文底稿	A0403-B0231	负责抑制血渴与黑怒。
Glaives Encarmine	赤红战刃	暂定·官方待核	所给英文底稿	A0403-B0450	武器泛称，不限定为长剑；待核官方译名。
Angelus Bolter	祷告爆矢枪	暂定·官方待核	所给英文底稿	A0403-B0450	沿用本稿暂定，尚无官方武器名证据。
moripatris	莫里帕特里斯	暂定·官方待核	所给英文底稿	A0403-B0438	毁灭弥撒专名。
Duplus Lunaris	双月	暂定·官方待核	所给英文底稿	A0403-B0458	百年一次的选拔时节。
Unverrdt IX	昂维尔特九号	暂定·官方待核	所给英文底稿	A0403-B0465	铸造世界。
Blood Champion	鲜血冠军	暂定·官方待核	所给英文底稿	A0403-B0445	荣誉卫队内职衔。
The Sanguinor	圣血者	官方已核	https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf ; https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW-09/GW-10同第11页	中英同名单位表直接对应。
Sanguinary Priest	圣血祭司	官方已核	https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf ; https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW-09/GW-10同第11页	中英同名单位表直接对应。
Baal Predator	巴尔掠食者坦克	官方已核	https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf ; https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW-09/GW-10同第11页	中英同名单位表直接对应。
Death Company Dreadnought	死亡连队无畏机甲	官方已核	https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf ; https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW-09/GW-10同第11页	中英同名单位表直接对应。
Death Company Marines	死亡连队战士	官方已核	https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf ; https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW-09/GW-10同第11页	中英同名单位表直接对应。
Erelim	英勇天使	暂定·官方待核	所给英文底稿	A0404-B0002	沿用现稿；圣血天使教士卫队。
Death Company Chaplain	死亡连队教士	暂定·官方待核	所给英文底稿	A0405-B0002	按死亡连队与教士统一定译组合，完整职衔暂定。
Sanguinary Novitiates	见习圣血祭司	暂定·官方待核	所给英文底稿	A0406-B0023	圣血祭司初级阶段。
Guardian of the Shroud	圣骸布守护者	暂定·官方待核	所给英文底稿	A0408-B0002	沿用本稿职衔。
Equinox Power Blades	昼夜平分动力刃	暂定·官方待核	所给英文底稿	A0410-B0008	补足 Equinox 词义；武器名暂定。
Falling Star Pattern Power Spears	流星型动力长矛	暂定·官方待核	所给英文底稿	A0410-B0008	沿用现稿。
Lestrallio Procedure	雷斯塔里欧程序	暂定·官方待核	所给英文底稿	A0411-B0013	记录黑怒异象的观察程序，不是手术。
Shroud of Lemartes	雷马特斯圣骸布	暂定·官方待核	所给英文底稿	A0411-B0035	布制圣物；人名按官方雷马特斯。
Ofanim	座天使	暂定·官方待核	所给英文底稿	A0412-B0002	燃烧之眼别称。
