英文标准词	采用中文	译名状态	依据	定位	编辑说明
Auto-launcher	自动发射器	暂定·官方待核	所给英文底稿	篇1226	按英文语境沿现稿或修正；官方对应待核。
Ironclad Assault Launcher	铁甲突击发射器	暂定·官方待核	所给英文底稿	篇1227	按英文语境沿现稿或修正；官方对应待核。
Fragstorm Grenade Launcher	破片风暴榴弹发射器	暂定·官方待核	所给英文底稿	篇1228	按英文语境沿现稿或修正；官方对应待核。
Krakstorm Grenade Launcher	穿甲风暴榴弹发射器	暂定·官方待核	所给英文底稿	篇1229	按英文语境沿现稿或修正；官方对应待核。
Webber	射网枪	暂定·官方待核	所给英文底稿	篇1230	按英文语境沿现稿或修正；官方对应待核。
Web Pistol	射网手枪	暂定·官方待核	所给英文底稿	篇1230	按英文语境沿现稿或修正；官方对应待核。
Heavy Webber	重型射网枪	暂定·官方待核	所给英文底稿	篇1230	按英文语境沿现稿或修正；官方对应待核。
Razor Webber	剃刀射网枪	暂定·官方待核	所给英文底稿	篇1230	按英文语境沿现稿或修正；官方对应待核。
Astartes Webber	阿斯塔特射网枪	暂定·官方待核	所给英文底稿	篇1231	按英文语境沿现稿或修正；官方对应待核。
Auto Weapon	自动武器	暂定·官方待核	所给英文底稿	篇1232	按英文语境沿现稿或修正；官方对应待核。
Autogun	自动枪	暂定·官方待核	所给英文底稿	篇1232	按英文语境沿现稿或修正；官方对应待核。
Autopistol	自动手枪	暂定·官方待核	所给英文底稿	篇1232	按英文语境沿现稿或修正；官方对应待核。
Autocannon	自动炮	暂定·官方待核	所给英文底稿	篇1232	按英文语境沿现稿或修正；官方对应待核。
Macro Cannon	宏炮	暂定·官方待核	所给英文底稿	篇1232	按英文语境沿现稿或修正；官方对应待核。
Assault Cannon	突击炮	暂定·官方待核	所给英文底稿	篇1232	按英文语境沿现稿或修正；官方对应待核。
Stub Gun	短管枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Stub Revolver	短管左轮手枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Stub Automatic	自动短管枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Hand Cannon	手炮	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Macrostubber	宏伐木枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Stubcarbine	短管卡宾枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Agripinaa Mk XIV Quickdraw Stub Revolver	阿格里皮娜 Mk.XIV 快拔短管左轮手枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Branx MkVIII	布兰克斯 Mk.VIII	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Equalizer Stub Pistol	均衡者短管手枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Hax-Orthlack Armsman-10 Pattern Service Pistol	哈克斯—奥斯拉克武装者-10型制式手枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Ironfist Stub Revolver	铁拳短管左轮手枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Ironhead Stub Gun	铁首短管枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Khayer-Addin Forge	卡耶尔—阿丁铸造厂	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Fate Bringer	命运使者	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Lammark Combination Thousander	拉马克“千发者”复合手枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Renner Lightburn	伦纳·莱特伯恩	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Mariette Cylinder Pistol	马里埃特圆筒手枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Phobos Stubber	火卫一伐木枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Doru Fane	多鲁工坊	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Belasco Deathworks	贝拉斯科死亡工厂	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Scipio pattern	西庇阿型	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Volg Mercy Killer	伏尔格“怜悯杀手”	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Westingkrup Model 20 “Scalptaker” Stub Revolver	威斯汀克虏伯20型“剥头皮者”短管左轮手枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
Zarona Mk IIa Quickdraw Stub Revolver	扎罗纳 Mk.IIa 快拔短管左轮手枪	暂定·官方待核	所给英文底稿	篇1233	按英文语境沿现稿或修正；官方对应待核。
