英文标准词	采用中文	译名状态	依据	定位	编辑说明
Logis Strategos	情报部	暂定·官方待核	所给英文底稿与全书统一决定	477	机构名沿现稿。
Order Elucidatum	阐释修会	暂定·官方待核	所给英文底稿与全书统一决定	478	马卡多的秘密警察组织，不属于审判庭 Ordo 分支。
Elucidator	阐释者	暂定·官方待核	所给英文底稿与全书统一决定	478	统一原稿阐释者／阐明者。
Tallyman	书记官	官方已核对	GW-09/GW-10 中英文军务部野战手册对应单位名	均第18页	按名称对应，未因不同时期编制变化混同单位。Tallyman只在死亡守卫职位语境适用。
seratoxin	塞拉毒素	暂定·官方待核	所给英文底稿与全书统一决定	478	虚构药物名暂音译。
Militarum Tempestus	暴风军	暂定·官方待核	所给英文底稿与全书统一决定	479	本条指 Ordo Tempestus 同一组织。
Chancellor of the Estate Imperium	帝国档案部部长	暂定·官方待核	所给英文底稿与全书统一决定	481	专门官职，不译总理。
Officio Assassinorum	刺客庭	暂定·官方待核	所给英文底稿与全书统一决定	482	沿全书定译，与刺客审判庭区分。
Grand Master of Assassins	刺客庭大导师	暂定·官方待核	所给英文底稿与全书统一决定	482	组织首长，不与神庙多位大师混同。
Sicarius Primus	首席刺客	暂定·官方待核	所给英文底稿与全书统一决定	482	沿现稿晋升资格名称。
Master Adept	主管文吏	暂定·官方待核	所给英文底稿与全书统一决定	482	本段行政规划职称，可能亲自带队，暂定。
Execution Force	处刑部队	暂定·官方待核	所给英文底稿与全书统一决定	482	多个刺客神庙联合作战编队。
synskin	合成皮肤	暂定·官方待核	所给英文底稿与全书统一决定	482	喷覆式特殊防护材料。
Shrouds	帷幕	暂定·官方待核	所给英文底稿与全书统一决定	482	会面地点专名，待核。
Tobeld	托贝尔德	暂定·官方待核	所给英文底稿与全书统一决定	482	原译托菲尔德偏离英文拼写。
Orlenza Triartes	奥伦扎·特里阿特斯	暂定·官方待核	所给英文底稿与全书统一决定	482	完整地名，不译成三号。
Literati	文士	暂定·官方待核	所给英文底稿与全书统一决定	483	内政部警卫专名，非泛称文学人员。
Nexus Axiomatic	公理枢纽	暂定·官方待核	所给英文底稿与全书统一决定	485—486	统一486末句误用天枢。
Magister Calculo Horarium	计时大师	暂定·官方待核	所给英文底稿与全书统一决定	485	协调航运的专门职称，沿现稿。
Praeses Mercatura	贸易守护者	暂定·官方待核	所给英文底稿与全书统一决定	486	商船舰队武装分支。
Vagabond Class Merchant Trader	浪人级贸易商船	暂定·官方待核	所给英文底稿与全书统一决定	484—485	沿70现稿统一流浪者别译。
Orion Class Star Clipper	俄里翁级星辰快船	暂定·官方待核	所给英文底稿与全书统一决定	485	沿70现稿统一猎户座别译。
Conquest Class Star Galleon	征服级星辰大船	暂定·官方待核	所给英文底稿与全书统一决定	484	沿70和81本批统一。
Sorensen family	索伦森家族	暂定·官方待核	所给英文底稿与全书统一决定	485	九千年指世代任职，不是单一船长寿命。
Fleet Commissariat	舰队政委部	暂定·官方待核	所给英文底稿与全书统一决定	487	组织而非单名政委。
Naval Armsmen	海军武装卫兵	暂定·官方待核	所给英文底稿与全书统一决定	487	专司舰上警卫和跳帮的武装人员。
Bondsman	役奴	暂定·官方待核	所给英文底稿与全书统一决定	487	本段海军劳役阶层；与骑士家臣等语境区分。
Press Gang	强征劳役队	暂定·官方待核	所给英文底稿与全书统一决定	487	本段受强征人员的编组。
Armageddon Class Battle Cruiser	阿玛吉多顿级战列巡洋舰	暂定·官方待核	所给英文底稿与全书统一决定	487	与 Apocalypse 天启级战列舰区分。
Defence Monitor	防御重炮舰	暂定·官方待核	所给英文底稿与全书统一决定	487	太空舰型，Monitor 不指显示或监视设备。
Adamanticlad	精金铁甲舰	暂定·官方待核	所给英文底稿与全书统一决定	487	古老重装甲舰型。
Aquila prow	天鹰舰艏	暂定·官方待核	所给英文底稿与全书统一决定	487	沃斯特色外形。
Thunderbolt Fury	雷霆狂怒型	暂定·官方待核	所给英文底稿与全书统一决定	488	基本机型 Thunderbolt 沿用本稿雷霆；Fury 型暂定。
Novator	星长	暂定·官方待核	所给英文底稿与全书统一决定	489	沿用原稿导航员家族领袖职衔，区别 Paternova 最高族长。
Celestarch	天君	暂定·官方待核	所给英文底稿与全书统一决定	489	沿用原稿贝利萨留斯家族领袖职衔。
Magisterial Houses	权威家族	暂定·官方待核	所给英文底稿与全书统一决定	489	沿用原稿类别名称。
Nomadic Houses	游牧家族	暂定·官方待核	所给英文底稿与全书统一决定	489	沿用原稿类别名称。
Shrouded Houses	寿衣家族	暂定·官方待核	所给英文底稿与全书统一决定	489	沿用原稿类别名称；含义和官译待核。
Renegade Houses	叛逆家族	暂定·官方待核	所给英文底稿与全书统一决定	489	沿用原稿类别名称。
Navigator Conventions	《导航员公约》	暂定·官方待核	所给英文底稿与全书统一决定	489	约束导航员家族贸易战争的公约。
Navigator’s Quarter	导航员区	暂定·官方待核	所给英文底稿与全书统一决定	489	泰拉上的城区，Quarter 不是人员群体。
Free Charter	自由特许状	暂定·官方待核	所给英文底稿与全书统一决定	489	允许导航员自行选择雇主，区别商船特许状和贸易许可。
Francisco M’edici 14th	弗朗西斯科·美’第奇十四世	暂定·官方待核	所给英文底稿与全书统一决定	489	沿用原稿人名并统一标点。
