英文标准词	采用中文	译名状态	依据	定位	编辑说明
Khenetai Occult	肯特泰密会	暂定·官方待核	所给英文底稿	篇 0551—0553	按具体军团语境暂定；同形词不机械替换。
Order of the Jackal	豺狼教团	暂定·官方待核	所给英文底稿	篇 0551—0553	按具体军团语境暂定；同形词不机械替换。
Ammitara Occult	阿米塔拉密会	暂定·官方待核	所给英文底稿	篇 0551—0553	按具体军团语境暂定；同形词不机械替换。
Order of the Blind	盲者教团	暂定·官方待核	所给英文底稿	篇 0551—0553	按具体军团语境暂定；同形词不机械替换。
Corvidae Initiate	黑鸦信徒	暂定·官方待核	所给英文底稿	篇 0551—0553	按具体军团语境暂定；同形词不机械替换。
Corvidae Cult	黑鸦学派	暂定·官方待核	所给英文底稿	篇 0551—0553	按具体军团语境暂定；同形词不机械替换。
Fates	命运者	暂定·官方待核	所给英文底稿	篇 0551—0553	按具体军团语境暂定；同形词不机械替换。
Horus Lupercal	荷鲁斯·卢佩卡尔	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Lupercal	卢佩卡尔	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Maeleum	玛勒姆	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Maleum	玛勒姆	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Mournival	四王议会	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Justaerin	加斯塔林	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Catulan Reaver Squad	卡图兰掠夺者小队	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Reaver Attack Squad	掠夺者攻击小队	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Luperci	狼之兄弟	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Luna Wolves	影月苍狼	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Thrice-Cursed Traitors	三重诅咒叛徒	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Sons of the Eye	眼之子	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Wolves of Horus	荷鲁斯之狼	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
True Sons	真子	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
True Sons of Cthonia	科索尼亚真子	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Serpent Lodge	蛇之结社	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Speartip	矛尖	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Long War	万古长战	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Vengeful Spirit	复仇之魂号	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Magna Tyranis	大暴君号	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Triumph of Reason	理性凯旋号	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Lash	鞭笞号	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
King Eater	噬王者号	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Throne of the Underworld	冥界王座号	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
War Oath	战争誓言号	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Warmaster's Mercy	战帅慈悲号	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Conqueror's Pride	征服者之傲号	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Tomb of Gold	黄金之墓号	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
His Chosen Son	祂的选中之子号	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
Ikon	伊康号	暂定·官方待核	所给英文底稿	篇0554	统一本篇名称；舰名、部队及人名不因同形词而跨语境替换。
