英文标准词	采用中文	译名状态	依据	定位	编辑说明
Principia Belicosa	军团组织法典	暂定·官方待核	所给英文底稿	A0176-B0026	文献名。
Vexillarius	旗手	暂定·官方待核	所给英文底稿	A0176-B0048	原译禁卫误认职能；与荣誉卫队区分。
Praetorate	执政官团	暂定·官方待核	所给英文底稿	A0176-B0046	集体指挥机构，不是单一执政官。
Consular Representatives	领事代表	暂定·官方待核	所给英文底稿	A0176-B0047	原译军团百夫长丢失代表含义。
Apocrypha of Skaros	斯卡罗斯次经	暂定·官方待核	所给英文底稿	A0176-B0193	与第232篇标题统一。
Apocrypha of Davio	达维奥次经	暂定·官方待核	所给英文底稿	A0176-B0193	与对应文献类型统一。
Navigators Ordinary	常任导航员	暂定·官方待核	所给英文底稿	A0176-B0077	Ordinary 职衔含义待核，不据字面判定能力普通。
Newblood	新血	暂定·官方待核	所给英文底稿	A0177-B0001	快速培育的战时星际战士。
Prototype Legionaries	原型军团士兵	暂定·官方待核	所给英文底稿	A0178-B0001	改造流程完善前的实验原型。
Primordial Strain	原种	暂定·官方待核	所给英文底稿	A0178-B0003	原型军团士兵的群体称谓。
Jangsai Khan	江塞可汗	暂定·官方待核	所给英文底稿	A0177-B0006	人物。
Saduran	萨杜兰	暂定·官方待核	所给英文底稿	A0177-B0008	人物。
Ikrek	艾克瑞克	暂定·官方待核	所给英文底稿	A0177-B0010	人物。
Abraxus Ghent	阿布拉克斯·根特	暂定·官方待核	所给英文底稿	A0178-B0008	人物。
Leetu	勒图	暂定·官方待核	所给英文底稿	A0178-B0010	人物。
The Chamber at the End of Memory	记忆尽头的房间	暂定·官方待核	所给英文底稿	A0179-B0222	文献名，统一本篇断忆之室异译。
Rangdan Xenocides	冉丹灭绝战争	暂定·官方待核	所给英文底稿	A0179-B0146	战役系列，统一冉丹种族灭绝/大屠杀。
Subject XI	第十一号对象	暂定·官方待核	所给英文底稿	A0179-B0290	被关押的存在，身份未明。
Epistolary	星语官	暂定·官方待核	所给英文底稿	A0179-B0305	按用户沿用现稿及主审统一决定采用星语官；智库员等级职衔，与 Astropath 星语者区分。
Argel Tal	阿格尔·塔尔	暂定·官方待核	所给英文底稿	A0179-B0072	统一人物名，原译安格尔·塔尔。
Hegemon	霸主殿	暂定·官方待核	所给英文底稿	A0179-B0101	皇宫内场所，暂译。
Labrik Polaris incident	拉布里克·波拉里斯事件	暂定·官方待核	所给英文底稿	A0179-B0135	事件名，保留专名音译。
Space Marine Legion	星际战士军团	暂定·官方待核	所给英文底稿	176	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Honour Guard	荣誉卫队	暂定·官方待核	所给英文底稿	A0231-B0044	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Legion Armourium	军团军械库	暂定·官方待核	所给英文底稿	A0176-B0053	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Legion Apothecarion	军团药剂部	暂定·官方待核	所给英文底稿	A0176-B0054	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Legion Librarius	军团智库	暂定·官方待核	所给英文底稿	A0176-B0055	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Lord Commander	领主指挥官	暂定·官方待核	所给英文底稿	A0176-B0060	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Chapter Consuls	战团领事官	暂定·官方待核	所给英文底稿	A0176-B0061	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Chapter Vexillarius	战团旗手	暂定·官方待核	所给英文底稿	A0176-B0062	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Chapter Command Bodyguard	战团指挥卫队	暂定·官方待核	所给英文底稿	A0176-B0063	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Chapter Armourium	战团军械库	暂定·官方待核	所给英文底稿	A0176-B0068	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Lieutenant Commander	副指挥官	暂定·官方待核	所给英文底稿	A0176-B0072	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Battalion Consuls	营部领事官	暂定·官方待核	所给英文底稿	A0176-B0073	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Battalion Vexillarius	营旗手	暂定·官方待核	所给英文底稿	A0176-B0074	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Battalion Command Bodyguard	营部指挥卫队	暂定·官方待核	所给英文底稿	A0176-B0075	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Techmarine Covenants	科技战士组	暂定·官方待核	所给英文底稿	A0176-B0083	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Dreadnought Talon	无畏机甲进攻分队	暂定·官方待核	所给英文底稿	A0176-B0085	本范围对照英文后沿用或修订；未查得官方对应，暂定。
Lieutenant	副官	暂定·官方待核	所给英文底稿	249	本范围对照英文后沿用或修订；未查得官方对应，暂定。
