英文标准词	采用中文	译名状态	依据	定位	编辑说明
Blank	空白者	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Untouchable	不可接触者	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Pariah	贱民	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Psychic Null	灵能空洞	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Blacksoul	黑魂	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
pariah gene	贱民基因	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Omega-Minus	欧米伽负级	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Culexus Temple	邱利萨斯神庙	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Animus Speculum	恶意透镜	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
protiphage	原初吞噬者	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Black Pariah	黑色贱民	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Ordo Sinister	噩兆修会	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Preceptor-Intendants	监察导师	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Sinistramus Tenebrae	黯灭炮	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Ciricrux Anima	迫灵十字	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Lathe-Pattern Null-Blocker	拉斯型虚无阻断器	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Atlas Infernal	炼狱之图	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Solitaires	独角	官方已核·单复数词形对应	GW-09/GW-10第6页 Solitaire对应独角	篇 0028	Solitaires为复数，与官方单位Solitaire同名同物，旧独角客回改。
Discordant	失谐者	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Perfidia Vong	佩尔菲迪亚·冯	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Jonquin Saul	乔昆·索尔	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Aoife Armengarde	奥菲·阿门加德	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Alizebeth Bequin	伊丽莎白·贝奎恩	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Distaff	纺纱杆组织	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Gregor Eisenhorn	格雷戈·艾森霍恩	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Ferik Jurgen	费里克·尤根	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Ciaphas Cain	凯法斯·凯恩	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Jenetia Krole	珍提亚·科勒	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Amendera Kendel	阿蒙德菈·肯德尔	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Leilani Mollitas	莱菈尼·莫利塔斯	暂定·官方待核	所给英文底稿	篇 0028	按本篇语境定译；同形普通词不作机械替换。
Shaman	萨满	暂定·官方待核	所给英文底稿	篇 0029	按本篇语境定译；同形普通词不作机械替换。
Men of Iron	铁人	暂定·官方待核	所给英文底稿	篇 0030	按本篇语境定译；同形普通词不作机械替换。
Cybernetic Revolt	智械叛乱	暂定·官方待核	所给英文底稿	篇 0030	按本篇语境定译；同形普通词不作机械替换。
Abominable Intelligence	憎恶智能	暂定·官方待核	所给英文底稿	篇 0030	按本篇语境定译；同形普通词不作机械替换。
Excindio Battle-Automata	灭绝者自动机兵	暂定·官方待核	所给英文底稿	篇 0030	沿第2篇已定 Excindio 灭绝者，统一完整名；原本篇毁灭者自动机兵。
Menazoid Epsilon	梅纳佐伊德埃普西隆星	暂定·官方待核	所给英文底稿	篇 0030	按本篇语境定译；同形普通词不作机械替换。
Numen	守护神	暂定·官方待核	所给英文底稿	篇 0031	按本篇语境定译；同形普通词不作机械替换。
Chaos Child	混沌之子	暂定·官方待核	所给英文底稿	篇 0031	按本篇语境定译；同形普通词不作机械替换。
Uigebealach	威格比拉赫	暂定·官方待核	所给英文底稿	篇 0031	按本篇语境定译；同形普通词不作机械替换。
Jaq Draco	贾克·德拉科	暂定·官方待核	所给英文底稿	篇 0031	按本篇语境定译；同形普通词不作机械替换。
Shining Path	光辉之路	暂定·官方待核	所给英文底稿	篇 0031	按本篇语境定译；同形普通词不作机械替换。
God Incarnate	神之化身	暂定·官方待核	所给英文底稿	篇 0032	按本篇语境定译；同形普通词不作机械替换。
Divine Avatar	神圣化身	暂定·官方待核	所给英文底稿	篇 0032	按本篇语境定译；同形普通词不作机械替换。
Thorians	托尔派	暂定·官方待核	所给英文底稿	篇 0032	按本篇语境定译；同形普通词不作机械替换。
Enuncia	暗言	暂定·官方待核	所给英文底稿	篇 0034	按本篇语境定译；同形普通词不作机械替换。
Cognitae	闻道学派	暂定·官方待核	所给英文底稿	篇 0034	按本篇语境定译；同形普通词不作机械替换。
Kasper Hawser	卡斯佩尔·豪瑟尔	暂定·官方待核	所给英文底稿	篇 0034	按本篇语境定译；同形普通词不作机械替换。
Zygmunt Molotch	齐格蒙特·莫洛奇	暂定·官方待核	所给英文底稿	篇 0034	按本篇语境定译；同形普通词不作机械替换。
