英文标准词	采用中文	译名状态	依据	定位	编辑说明
Plasma cannon	等离子炮	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第49页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Heavy Plasma Gun	重型等离子枪	暂定·官方待核	所给英文底稿	篇1301	按英文语境沿现稿或修正；官方对应待核。
Sol Militaris Helion Fire Pattern	太阳军太阳烈焰型	暂定·官方待核	所给英文底稿	篇1301	按英文语境沿现稿或修正；官方对应待核。
Sulis Sub-Type	苏利斯亚型	暂定·官方待核	所给英文底稿	篇1301	按英文语境沿现稿或修正；官方对应待核。
Primus Pattern	首要型	暂定·官方待核	所给英文底稿	篇1301	按英文语境沿现稿或修正；官方对应待核。
Executioner Cannon	行刑者加农炮	暂定·官方待核	所给英文底稿	篇1302	按英文语境沿现稿或修正；官方对应待核。
Plasma Eradicator	等离子根除炮	暂定·官方待核	所给英文底稿	篇1303	按英文语境沿现稿或修正；官方对应待核。
Las-Ripper	激光撕裂炮	暂定·官方待核	所给英文底稿	篇1303	按英文语境沿现稿或修正；官方对应待核。
Plasma Blastgun	等离子爆破炮	暂定·官方待核	所给英文底稿	篇1304	按英文语境沿现稿或修正；官方对应待核。
Hammerblade Fighter-Bomber	锤刃战斗轰炸机	暂定·官方待核	所给英文底稿	篇1304	按英文语境沿现稿或修正；官方对应待核。
Vaslistle Hum’nal	瓦斯利斯特尔·胡姆纳尔	暂定·官方待核	所给英文底稿	篇1304	按英文语境沿现稿或修正；官方对应待核。
Hellgrace	地狱恩典	暂定·官方待核	所给英文底稿	篇1304	按英文语境沿现稿或修正；官方对应待核。
Dynax Primus	戴纳克斯主星	暂定·官方待核	所给英文底稿	篇1304	按英文语境沿现稿或修正；官方对应待核。
Omega Pattern Plasma Blastgun	欧米伽型等离子爆破炮	暂定·官方待核	所给英文底稿	篇1304	按英文语境沿现稿或修正；官方对应待核。
Plasma Destroyer	等离子毁灭炮	暂定·官方待核	所给英文底稿	篇1305	按英文语境沿现稿或修正；官方对应待核。
Hellfire Plasma Cannonade	狱火等离子大炮	暂定·官方待核	所给英文底稿	篇1306	按英文语境沿现稿或修正；官方对应待核。
Omega Plasma Array	欧米伽等离子阵列	暂定·官方待核	所给英文底稿	篇1307	按英文语境沿现稿或修正；官方对应待核。
Laser Weapon	激光武器	暂定·官方待核	所给英文底稿	篇1308	按英文语境沿现稿或修正；官方对应待核。
Prismata Crystals	普里马塔晶体	暂定·官方待核	所给英文底稿	篇1308	按英文语境沿现稿或修正；官方对应待核。
Proteus Las Lance	普罗透斯激光光矛	暂定·官方待核	所给英文底稿	篇1308	按英文语境沿现稿或修正；官方对应待核。
Snub-Nosed Las	短管激光枪	暂定·官方待核	所给英文底稿	篇1308	按英文语境沿现稿或修正；官方对应待核。
Corve Las-Pulser	科尔夫激光脉冲炮	暂定·官方待核	所给英文底稿	篇1308	按英文语境沿现稿或修正；官方对应待核。
Arachnus Blaze Cannon	阿拉克纳斯爆裂炮	暂定·官方待核	所给英文底稿	篇1308	按英文语境沿现稿或修正；官方对应待核。
Arachnus Storm Cannon	阿拉克纳斯风暴炮	暂定·官方待核	所给英文底稿	篇1308	按英文语境沿现稿或修正；官方对应待核。
Arachnus Magna-Blaze Cannon	阿拉克纳斯巨型爆裂炮	暂定·官方待核	所给英文底稿	篇1308	按英文语境沿现稿或修正；官方对应待核。
Arachnus Heavy Lascannon	阿拉克纳斯重型激光炮	暂定·官方待核	所给英文底稿	篇1308	按英文语境沿现稿或修正；官方对应待核。
Sollex Heavy Lascannon	索莱克斯重型激光炮	暂定·官方待核	所给英文底稿	篇1308	按英文语境沿现稿或修正；官方对应待核。
Turbo-laser Destructor	涡轮激光破坏炮	暂定·官方待核	所给英文底稿	篇1308	按英文语境沿现稿或修正；官方对应待核。
Weapons Batteries	舰炮组	暂定·官方待核	所给英文底稿	篇1308	按英文语境沿现稿或修正；官方对应待核。
Lascutter	激光切割枪	暂定·官方待核	所给英文底稿	篇1309	按英文语境沿现稿或修正；官方对应待核。
Las Fusil	激光狙击枪	暂定·官方待核	所给英文底稿	篇1310	按英文语境沿现稿或修正；官方对应待核。
Lascannon	激光炮	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第13页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Blazooga	布拉佐加	暂定·官方待核	所给英文底稿	篇1311	按英文语境沿现稿或修正；官方对应待核。
Godhammer Pattern	神锤型	暂定·官方待核	所给英文底稿	篇1311	按英文语境沿现稿或修正；官方对应待核。
Hell Hammer Pattern	地狱之锤型	暂定·官方待核	所给英文底稿	篇1311	按英文语境沿现稿或修正；官方对应待核。
Primus Standard Template Construct Pattern	首要标准建造模板型	暂定·官方待核	所给英文底稿	篇1311	按英文语境沿现稿或修正；官方对应待核。
Stormbringer Pattern	风暴使者型	暂定·官方待核	所给英文底稿	篇1311	按英文语境沿现稿或修正；官方对应待核。
Magna Lascannon	巨型激光炮	暂定·官方待核	所给英文底稿	篇1311	按英文语境沿现稿或修正；官方对应待核。
Las-Talon	激光爪	暂定·官方待核	所给英文底稿	篇1312	按英文语境沿现稿或修正；官方对应待核。
Thunderstrike Las-Talon	雷霆激光爪	官方词根参考·全称待核	所给英文底稿	篇1312	GW09第33页/GW10第32页雷霆型风暴速攻艇，武器全称仍待核。
Volcano cannon	火山炮	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第115页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Cinderus XI	煤灰十一号	暂定·官方待核	所给英文底稿	篇1313	按英文语境沿现稿或修正；官方对应待核。
Belicosa Pattern	好战型	暂定·官方待核	所给英文底稿	篇1313	按英文语境沿现稿或修正；官方对应待核。
Castigatus	严惩号	暂定·官方待核	所给英文底稿	篇1313	按英文语境沿现稿或修正；官方对应待核。
Teracharge Pattern	太级充能型	暂定·官方待核	所给英文底稿	篇1313	按英文语境沿现稿或修正；官方对应待核。
Laser Destroyer	激光毁灭炮	暂定·官方待核	所给英文底稿	篇1315	按英文语境沿现稿或修正；官方对应待核。
Rapier Laser Destroyer	细剑激光毁灭炮	暂定·官方待核	所给英文底稿	篇1315	按英文语境沿现稿或修正；官方对应待核。
Heavy Laser Destroyer	重型激光毁灭炮	暂定·官方待核	所给英文底稿	篇1315	按英文语境沿现稿或修正；官方对应待核。
Magna Laser Destroyer	巨型激光毁灭炮	暂定·官方待核	所给英文底稿	篇1315	按英文语境沿现稿或修正；官方对应待核。
APDS-6a Defender	APDS-6a 防御者	暂定·官方待核	所给英文底稿	篇1315	按英文语境沿现稿或修正；官方对应待核。
Laser Blaster	激光爆破炮	暂定·官方待核	所给英文底稿	篇1316	按英文语境沿现稿或修正；官方对应待核。
Heavy stubber	重机枪	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第13页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Heavy flamer	重型火焰喷射器	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第13页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Heavy bolter	重型爆矢枪	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第13页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Multi-melta	多管热熔	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第13页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Hunter-killer missile	猎杀导弹	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第13页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Storm bolter	风暴爆矢枪	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第13页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Leman Russ battle cannon	黎曼鲁斯战斗炮	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第13页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Militarum plasma cannon	军务部等离子炮	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第13页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Plasma pistol	等离子手枪	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第19页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
‘Iron Hand’ Straken	“铁手”斯特瑞肯	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第19页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Executioner plasma cannon	处决者等离子炮	官方已核对	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11同版索引第81页	逐项读取同一单位中英文武器或人物名称；通用词根与具体命名武器不机械合并。
Straken	斯特瑞肯	官方词根参考·简称待核	GW-04 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_chi_16.10.pdf；GW-11 https://assets.warhammer-community.com/warhammer40000_indexes_astramilitarum_eng_16.10.pdf	GW-04/GW-11第19页	取自完整官名“铁手”斯特瑞肯。
Volkite Weapon	爆燃武器	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Telerac Pattern	特勒拉克型	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Volkite Serpenta	爆燃蛇铳	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Neo-Volkite Pistol	新型爆燃手枪	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Volkite Charger	爆燃突击铳	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Volkite Caliver	爆燃火铳	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Volkite Blaster	爆燃爆破枪	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Volkite Cavitor	空腔爆燃铳	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Volkite Incinerator	爆燃焚化器	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Volkite Falconet	爆燃隼炮	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Volkite Sentinel	爆燃哨兵	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Volkite Saker	爆燃长管炮	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Volkite Demi-Culverin	爆燃半长炮	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Volkite Culverin	爆燃长炮	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
Volkite Carronade	爆燃短重炮	暂定·官方待核	所给英文底稿	篇1318	按英文语境沿现稿或修正；官方对应待核。
