英文标准词	采用中文	译名状态	依据	定位	编辑说明
Jovian Void Clans	木星虚空氏族	暂定·官方待核	所给英文底稿	1001 B0022	木星人类氏族，明确木星语境；不覆盖无关Joviann实体。
Jovian Purge	木星净化行动	暂定·官方待核	所给英文底稿	1001 B0026	具体肃清行动名。
technomat	技术工役	暂定·官方待核	所给英文底稿	1001 B0029	生产岗位称谓，具体等级待核。
Rune Priest (Adeptus Mechanicus)	如尼机僧	暂定·官方待核	所给英文底稿	1001 B0029	沿原稿；机械修会技术祭司类别，不同于太空野狼职衔。
Polar Shoal City-Stations	极地浅滩城市轨道站	暂定·官方待核	所给英文底稿	1001 B0054	沿原稿，木星统治阶级殖民站群。
Saros Station	萨罗斯空间站	暂定·官方待核	所给英文底稿	1001 B0056	沿原稿轨道度假设施名。
Kadal	卡达尔	暂定·官方待核	所给英文底稿	1001 B0058	卫星弹药堡垒，沿原稿。
The Caul	碎屑帷幕	暂定·官方待核	所给英文底稿	1001 B0063	包围木星船厂的球状残骸带；纠正原模板。
Subsector Sol	太阳次星区	暂定·官方待核	所给英文底稿	1001 B0011	按既定次星区层级，与Sector Solar太阳星区区分。
Saturnyne Ordo	土星邦国	暂定·官方待核	所给英文底稿	1002 B0022	沿现稿独立政体名；非审判庭Ordo。
Librarium Daemonicum	恶魔图书馆	暂定·官方待核	所给英文底稿	1002 B0034	土卫三秘密档案库，沿原译；不自动合并泰坦同类名设施。
Encaladus Fortress	恩克拉多斯要塞	暂定·官方待核	所给英文底稿	1002 B0032	英文采用Encaladus异写，卫星本名Enceladus不改。
Order of the Shattered Glass	破碎琉璃修会	暂定·官方待核	所给英文底稿	1002 B0032	战斗修女修会名，沿现稿。
Saturnine Fleet	土星舰队	暂定·官方待核	所给英文底稿	1002 B0022	帝国前土星邦国武装力量。
Katanoah Tallery	卡塔诺·塔勒里	暂定·官方待核	所给英文底稿	1003 B0030；697 B0042	沿本稿较早同一人物译名。
Scribe-Adepta Second Classificate	二级文士	暂定·官方待核	所给英文底稿	1003 B0030	内政部文书职级；非修女。
Mertiol	默蒂奥	暂定·官方待核	所给英文底稿	1003 B0032；697 B0042	沿已校同一伤员来源地。
Archivum Titanis	泰坦档案馆	暂定·官方待核	所给英文底稿	1003 B0042	沿原稿。
Cloister of Sorrows	悲伤回廊	暂定·官方待核	所给英文底稿	1003 B0044	沿原稿。
Fallen Dagger Hall	落匕大厅	暂定·官方待核	所给英文底稿	1003 B0046	灰骑士训练场所，以决斗挑战典故得名。
Mandulian Chapel	曼杜利斯教堂	暂定·官方待核	所给英文底稿	1003 B0048	依Grand Master Mandulis人名派生，沿原稿。
Mount Anarch	叛逆之峰	暂定·官方待核	所给英文底稿	1003 B0050	泰坦山峰，沿原稿。
Dead Fields	亡者之地	暂定·官方待核	所给英文底稿	1003 B0060	灰骑士地下墓区，沿原稿。
