英文标准词	采用中文	译名状态	依据	定位	编辑说明
Daedelos Krata	代达洛斯·克拉塔	暂定·官方待核	所给英文底稿	篇0316	专名暂音译，原迷宫号是联想性意译。
Euxcine Incident	尤克辛事件	暂定·官方待核	所给英文底稿	篇0316	原黑海事件，未核是否指历史黑海，暂音译。
Night Reapers	暗夜收割者	暂定·官方待核	所给英文底稿	篇0316	Night不是Midnight，修正午夜。
Bosphori Deo	博斯弗里·迪奥	暂定·官方待核	所给英文底稿	A0316-B0090	地点专名，不直译神博斯普鲁斯海峡。
Taurans	陶兰战团	暂定·官方待核	所给英文底稿	A0316-B0178	与Minotaurs米诺陶为两团，原译混同。
Angels Sanguine	鲜血天使	暂定·官方待核	所给英文底稿	A0317-B0102	与Blood Angels圣血天使不同战团，暂定区分。
Rites of the Libation	奠酒仪式	暂定·官方待核	所给英文底稿	A0317-B0126	摄食生物质仪式，原奠基错误。
Keprian Reclamation	凯普里安收复战	暂定·官方待核	所给英文底稿	A0317-B0113	战役而非农业垦区。
Cerberian Field	刻耳柏里安星域	暂定·官方待核	所给英文底稿	篇0317	小行星密布区域，原塞伯里亚领域。
Ferox	凶猛号	暂定·官方待核	所给英文底稿	A0317-B0153	舰名，不译猛鲑。
Acheron	黄泉星	暂定·官方待核	英文底稿	第318篇 B0055	星球专名，按第18篇既有定译及主审决定统一黄泉星。
Selenon	塞勒农	暂定·官方待核	英文底稿	第318篇 B0092	修正误作赛琳娜。
Librarium Sanctorum	藏书圣所	暂定·官方待核	英文底稿	第318篇 B0101	区分档案设施与智库人员。
Librarium Sanatorium	智库疗养所	暂定·官方待核	英文底稿	第318篇 B0073	关押堕落灵能者的机构。
Litany of Fury	狂怒祷文号	暂定·官方待核	英文底稿	第318篇 B0107	舰名，Litany非光。
Ravenous Spirit	饕餮之魂号	暂定·官方待核	英文底稿	第318篇 B0117	舰名，Ravenous非狂暴。
Sirae Karagon	西拉·卡拉贡	暂定·官方待核	英文底稿	第319篇 B0012	沿用正文多数写法，统一信息栏西雷。
Vigil	警戒堡	暂定·官方待核	英文底稿	第319篇 B0065	红蝎空间站名，按第229篇既有定译及主审决定统一警戒堡。
Land Raider Helios	赫利俄斯型兰德掠袭者战车	暂定·官方待核	英文底稿	第319篇 B0030	基础车辆采用官译，型号暂定。
Land Raider Phobos	福波斯型兰德掠袭者战车	暂定·官方待核	英文底稿	第319篇 B0082	Phobos是型号。
Land Raider Hecate	赫卡忒型兰德掠袭者战车	暂定·官方待核	英文底稿	第319篇 B0086	基础车辆采用官译，型号暂定。
Whirlwind Scorpius	天蝎型旋风战车	暂定·官方待核	英文底稿	第319篇 B0088	基础车辆采用官译，型号暂定。
Grief	格里夫	暂定·官方待核	英文底稿	第319篇 B0093	地点专名。
Sevrin Loth	塞弗林·罗斯	暂定·官方待核	英文底稿	第319篇 B0097	沿用现稿。
Lord High Commander	至高领主指挥官	暂定·官方待核	英文底稿	第319篇 B0012	红蝎战团长的专用称谓。
Mortuary Chaplain	葬仪教士	暂定·官方待核	英文底稿	第323篇 B0051	专门职衔，Chaplain采用官方定译。
Imperator Mortifex	制死帝皇	暂定·官方待核	英文底稿	第323篇 B0057	星辰幻影信仰中的帝皇尊号。
Spectral Nine	幽影九号	暂定·官方待核	英文底稿	第323篇 B0072	修正误作九谱号。
Impulsor Squad	冲击者小队	暂定·官方待核	英文底稿	第320篇 B0018	天罚行者战团的特有小队，不与同名载具合并。
Cardinal Gate	枢机之门	暂定·官方待核	英文底稿	第322篇 B0016	沿 Cardinal 职衔统一枢机。
Stormsurge	风暴潮	官方已核对	GW-09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW-10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW-09 中文35页；GW-10 英文34页	中英钛帝国单位表对应；不把额外名词 Battlesuit 当作该条官译的一部分。
Crows World	鸦星	暂定·官方待核	英文底稿	第325篇 B0032	行星名，暂定。
Rapturous Flame	狂喜烈焰号	暂定·官方待核	英文底稿	第325篇 B0029	Rapturous非Raptorus。
Bell of Lost Souls	亡魂之钟	暂定·官方待核	英文底稿	第325篇 B0034	仪式用钟的名称。
Chapel of Fallen Heroes	陨落英雄礼拜堂	暂定·官方待核	英文底稿	第325篇 B0034	礼拜堂专名。
Red Harbinger	赤红先兆号	暂定·官方待核	英文底稿	第325篇 B0085	舰名，沿Harbinger先兆译义。
Absolute	绝对号	暂定·官方待核	英文底稿	第325篇 B0089	原文无truth，不增真理。
Angelis Tenebraium	黑暗天使	暂定·官方待核	英文底稿	第326篇 B0002	高哥特语称谓。
Hexagrammaton	六翼	暂定·官方待核	英文底稿	第326篇 B0049	第一军团作战体系，沿用本篇多数写法，统一本篇六重圣道。
Host	天军	暂定·官方待核	英文底稿	第326篇 B0049	第一军团跨连队的专门组织；普通军队host按上下文译。
Hekatonystika	百秘骑士团	暂定·官方待核	英文底稿	第326篇 B0258	第一军团秘密组织体系，沿用现稿。
Corpus Nobilis	中军	暂定·官方待核	英文底稿	第326篇 B0254	遵循军团组织法典的公开编制。
Corpus Dextera	右军	暂定·官方待核	英文底稿	第326篇 B0256	六翼的另一称呼。
