英文标准词	采用中文	译名状态	依据	定位	编辑说明
Draker Flense	德拉克尔·弗伦塞	暂定·官方待核	所给英文底稿与全书统一决定	964	沿现稿。
Jantine Patricians	詹亭贵族军	暂定·官方待核	所给英文底稿与全书统一决定	964	沿现稿。
Van Voytz	范·沃伊茨	暂定·官方待核	所给英文底稿与全书统一决定	964	沿现稿。
Diemos	迪莫斯裂谷	暂定·官方待核	所给英文底稿与全书统一决定	964	本地裂谷，区别Deimos迪莫斯卫星。
Shriven	忏悔者	暂定·官方待核	所给英文底稿与全书统一决定	964	此处混沌一方作战部队称谓，暂定待核。
Magmeta	玛格梅塔	暂定·官方待核	所给英文底稿与全书统一决定	965	人类遗传支系，沿现稿。
Huhlhwch Dynasty	胡尔赫奇王朝	暂定·官方待核	所给英文底稿与全书统一决定	965	沿现稿。
Nalsheen	纳尔辛	暂定·官方待核	所给英文底稿与全书统一决定	965	林地战士兄弟会，沿现稿。
Brin Milo	布林·米洛	暂定·官方待核	所给英文底稿与全书统一决定	965	沿现稿。
The Loss	失落	暂定·官方待核	所给英文底稿与全书统一决定	965	塔尼斯母星毁灭事件，原亏蚀。
Nalwood	纳尔木	暂定·官方待核	所给英文底稿与全书统一决定	965	沿现稿。
Tanith Magna	塔尼斯·马格纳	暂定·官方待核	所给英文底稿与全书统一决定	965	首都名，沿现稿。
Elector of Tanith	塔尼斯选侯	暂定·官方待核	所给英文底稿与全书统一决定	965	原选帝侯，英文没有选举帝皇的职能说明。
Beldane District	贝尔丹地区	暂定·官方待核	所给英文底稿与全书统一决定	965	沿现稿。
County Cuhulic	库赫利克郡	暂定·官方待核	所给英文底稿与全书统一决定	965	沿现稿。
County Pryze	普莱兹郡	暂定·官方待核	所给英文底稿与全书统一决定	965	沿现稿。
Sottress	索特雷斯	暂定·官方待核	所给英文底稿与全书统一决定	965	沿现稿。
Tanith Attica	塔尼斯·阿提卡	暂定·官方待核	所给英文底稿与全书统一决定	965	沿现稿。
Tanith Dale	塔尼斯·戴尔	暂定·官方待核	所给英文底稿与全书统一决定	965	沿现稿。
Tanith Longshore	塔尼斯沿岸	暂定·官方待核	所给英文底稿与全书统一决定	965	聚落名，沿现稿。
Tanith Steeple	塔尼斯尖顶	暂定·官方待核	所给英文底稿与全书统一决定	965	聚落名，沿现稿。
Tanith Ultima	塔尼斯·极限	暂定·官方待核	所给英文底稿与全书统一决定	965	聚落名，沿现稿。
Cuchlain	库赫林	暂定·官方待核	所给英文底稿与全书统一决定	965	本土动物，沿现稿。
Larisel	拉里塞尔	暂定·官方待核	所给英文底稿与全书统一决定	965	本土啮齿动物，沿现稿。
Nal-grub	纳尔-格鲁布	暂定·官方待核	所给英文底稿与全书统一决定	965	本土动物，暂沿现稿。
Shoggy	肖吉	暂定·官方待核	所给英文底稿与全书统一决定	965	本土两栖动物，沿现稿。
Ploin	普洛因	暂定·官方待核	所给英文底稿与全书统一决定	965	植物，沿现稿。
drud-fellad	德鲁德·费拉德	暂定·官方待核	所给英文底稿与全书统一决定	965	森林精灵，沿现稿。
nyrsis	尼西斯	暂定·官方待核	所给英文底稿与全书统一决定	965	水流精灵，沿现稿。
anroth	安罗斯	暂定·官方待核	所给英文底稿与全书统一决定	965	守护精灵，沿现稿。
Mkere	姆克雷	暂定·官方待核	所给英文底稿与全书统一决定	965	沿现稿。
Tanith Pipes	塔尼斯风笛	暂定·官方待核	所给英文底稿与全书统一决定	965	按结构与乐器类别修正原小管。
