英文标准词	采用中文	译名状态	依据	定位	编辑说明
Warp Storm	亚空间风暴	暂定·官方待核	所给英文底稿	篇0851	按英文语境沿现稿或修正；官方对应待核。
Screaming Vortex	尖啸旋涡	暂定·官方待核	所给英文底稿	篇0851	按英文语境沿现稿或修正；官方对应待核。
Storm of Judgement	审判风暴	暂定·官方待核	所给英文底稿	篇0851	按英文语境沿现稿或修正；官方对应待核。
Storm of the Emperor's Wrath	帝皇之怒风暴	暂定·官方待核	所给英文底稿	篇0852	按英文语境沿现稿或修正；官方对应待核。
Clax system	克拉克斯星系	暂定·官方待核	所给英文底稿	篇0852	按英文语境沿现稿或修正；官方对应待核。
Ruinstorm	毁灭风暴	暂定·官方待核	所给英文底稿	篇0853	按英文语境沿现稿或修正；官方对应待核。
Signus Cluster	西格纳斯星群	暂定·官方待核	所给英文底稿	篇0853	按英文语境沿现稿或修正；官方对应待核。
Real Space	真实空间	暂定·官方待核	所给英文底稿	篇0854	按英文语境沿现稿或修正；官方对应待核。
Imperium Sanctus	帝国圣疆	暂定·官方待核	所给英文底稿	篇0856	按英文语境沿现稿或修正；官方对应待核。
Crimson Path	深红之路	暂定·官方待核	所给英文底稿	篇0857	按英文语境沿现稿或修正；官方对应待核。
Mouth of Ruin	毁灭之口	暂定·官方待核	所给英文底稿	篇0857	按英文语境沿现稿或修正；官方对应待核。
Warpscar	亚空间之痕	暂定·官方待核	所给英文底稿	篇0857	按英文语境沿现稿或修正；官方对应待核。
Dathedian	达瑟迪安	暂定·官方待核	所给英文底稿	篇0857	按英文语境沿现稿或修正；官方对应待核。
Gork's Grin	搞哥狞笑	暂定·官方待核	所给英文底稿	篇0857	按英文语境沿现稿或修正；官方对应待核。
Everdusk	永暮	暂定·官方待核	所给英文底稿	篇0857	按英文语境沿现稿或修正；官方对应待核。
Mont’yhe’va	希望吞噬者	暂定·官方待核	所给英文底稿	篇0857	按英文语境沿现稿或修正；官方对应待核。
War in the Rift	裂隙战争	暂定·官方待核	所给英文底稿	篇0857	按英文语境沿现稿或修正；官方对应待核。
Dark Imperium	黑暗帝国	暂定·官方待核	所给英文底稿	篇0858	按英文语境沿现稿或修正；官方对应待核。
Alaric	阿拉里克	暂定·官方待核	所给英文底稿	篇0858	按英文语境沿现稿或修正；官方对应待核。
Elysium IX	厄琉息斯九号	暂定·官方待核	所给英文底稿	篇0858	按英文语境沿现稿或修正；官方对应待核。
Hasciar	哈西尔	暂定·官方待核	所给英文底稿	篇0858	按英文语境沿现稿或修正；官方对应待核。
Khamun-Sen	卡蒙-森	暂定·官方待核	所给英文底稿	篇0858	按英文语境沿现稿或修正；官方对应待核。
Nemeton	圣林	暂定·官方待核	所给英文底稿	篇0858	按英文语境沿现稿或修正；官方对应待核。
Vorakis	沃拉基斯	暂定·官方待核	所给英文底稿	篇0858	按英文语境沿现稿或修正；官方对应待核。
Segmentum	星域	暂定·官方待核	所给英文底稿	篇0859	按英文语境沿现稿或修正；官方对应待核。
Segmentae Majoris	五大星域	暂定·官方待核	所给英文底稿	篇0859	按英文语境沿现稿或修正；官方对应待核。
Lord High Admirals	海军至高上将	暂定·官方待核	所给英文底稿	篇0859	按英文语境沿现稿或修正；官方对应待核。
Master of the Segmentum	星域之主	暂定·官方待核	所给英文底稿	篇0859	按英文语境沿现稿或修正；官方对应待核。
Segmentum Fortress	星域堡垒	暂定·官方待核	所给英文底稿	篇0859	按英文语境沿现稿或修正；官方对应待核。
Hydraphur	海德拉弗	暂定·官方待核	所给英文底稿	篇0859	按英文语境沿现稿或修正；官方对应待核。
Bakka	巴卡	暂定·官方待核	所给英文底稿	篇0859	按英文语境沿现稿或修正；官方对应待核。
Sector	星区	暂定·官方待核	所给英文底稿	篇0860	按英文语境沿现稿或修正；官方对应待核。
Sector Lords	星区领主	暂定·官方待核	所给英文底稿	篇0860	按英文语境沿现稿或修正；官方对应待核。
Wilderness Space	荒野空域	暂定·官方待核	所给英文底稿	篇0860	按英文语境沿现稿或修正；官方对应待核。
Subsector	次星区	暂定·官方待核	所给英文底稿	篇0861	按英文语境沿现稿或修正；官方对应待核。
Helican Subsector	赫利坎次星区	暂定·官方待核	所给英文底稿	篇0861	按英文语境沿现稿或修正；官方对应待核。
System	星系（恒星系统）	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Aerelion System	艾尔隆星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Aethon System	埃森星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Tenebra Subsector	黑暗次星区	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Caligari Sector	卡利加利星区	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Balthar System	巴尔塔尔星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Brakatoa System	布拉卡托星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Chernobog System	切尔诺伯格星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Dagnor System	达格诺尔星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Dhobash System	多巴什星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Gilead System	基列星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Jophra XI System	乔普拉十一号星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Kaurava System	考拉瓦星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Prismata System	棱阵星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Qisto'Rol System	奎斯托·罗尔星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Nereus System	涅柔斯星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Sohiri System	索希里星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Yannsi System	扬西星系	暂定·官方待核	所给英文底稿	篇0862	按英文语境沿现稿或修正；官方对应待核。
Milky Way Galaxy	银河系	暂定·官方待核	所给英文底稿	篇0855	按英文语境沿现稿或修正；官方对应待核。
Exodite Worlds	蛮荒灵族世界	暂定·官方待核	所给英文底稿	篇0855	按英文语境沿现稿或修正；官方对应待核。
Kin	炉裔	暂定·官方待核	所给英文底稿	篇0855	按英文语境沿现稿或修正；官方对应待核。
Galactic Core	银心	暂定·官方待核	所给英文底稿	篇0855	按英文语境沿现稿或修正；官方对应待核。
Church of Dracolith	龙石教会	暂定·官方待核	所给英文底稿	篇0855	按英文语境沿现稿或修正；官方对应待核。
Draxian Hegemony	德拉西安霸权	暂定·官方待核	所给英文底稿	篇0855	按英文语境沿现稿或修正；官方对应待核。
Reek Worldweave	瑞克世界织网	暂定·官方待核	所给英文底稿	篇0855	按英文语境沿现稿或修正；官方对应待核。
Calixis Sector	卡利西斯星区	暂定·官方待核	所给英文底稿	篇0855	按英文语境沿现稿或修正；官方对应待核。
Proxima Centauri	比邻星	暂定·官方待核	所给英文底稿	篇0855	按英文语境沿现稿或修正；官方对应待核。
Dead World	死寂世界	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Death World	死亡世界	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Hive City	巢都城市	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Golgenna Reach	戈尔根纳疆域	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Josian Reach	约西亚疆域	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Newfound Trailing Group	新发现尾随星群	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Fornax Aleph	天炉座阿列夫	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Manachea	玛纳基亚	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Belial (Hive World)	彼列（巢都世界）	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Absolom Reach	阿布索伦疆域	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Acheron IV	黄泉四号	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Aerius	亚瑞乌斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Agrellan	阿格瑞兰	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Algol	大陵五	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Amarah Prime	阿玛拉主星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Anshur	安舒尔	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Aralan	阿拉兰	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Archaos	阿契厄斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Armageddon	阿玛吉多顿	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Aryand	雅利安德	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Ashek II	阿舍克二号	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Atoma Prime	阿托马主星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Auxilion	阿斯利恩	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Avalan	阿瓦兰	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Avellorn	阿维隆	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Badab Primaris	巴达布主星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Baraspine	巴拉斯佩恩	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Belecane	贝勒凯恩	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Beta-Garmon III	贝塔·伽蒙三号	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Black Reach	黑域	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Bront	勃朗特	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Caldera	卡尔德拉	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Canopus	卡诺帕斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Carcharias	锥齿鲨星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Chima Lomas	基马·洛马斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Clove	丁香星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Coronis Agathon	科罗尼斯·阿加松	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Corvus Majoris	大鸦座	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Cthonia	科索尼亚	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Cyclopia	赛克洛皮亚	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Derdoni	德尔多尼	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Don-Croix	唐·克罗伊	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Drachu	德拉库	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Ephisia	埃菲西亚	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Falchat	法尔查特	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Fell Core	堕落核心	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Fenksworld	芬克斯世界	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Formal Prime	庄重主星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Forsarr	弗萨尔	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Galaspar	加拉斯帕	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Gehenna Prime	欣嫩子谷主星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Gethsemane	客西马尼	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Gunpoint	枪口星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Guytoga	盖托加	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Hazhim	哈希姆	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Hermetica	何米狄克	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Hranx	赫兰克斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Hredrin	赫德林	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Ichar IV	伊卡尔四号	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Ichorax	伊科拉克斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Ishraq	伊斯哈克	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Isstvan III	伊斯塔万三号	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Japheth	雅弗	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Jones Crispin World	琼斯·克里斯平世界	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Kado	卡多	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Khadenghast	哈登赫斯特	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Kiavahr	基亚瓦尔	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Krieg	克里格	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Lakadamon	拉卡达蒙	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Landunder	兰德安德	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Lavantia	拉万蒂亚	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Lethe Eleven	忘川十一号	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Levion Gamma	莱维昂·伽马	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Lo	洛	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Lystra	利斯特拉	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Malfi	马尔菲	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Medusa V	美杜莎五号	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Mefara Secundus	梅法拉次星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Meridian (Maiden World)	子午线	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Merov	梅洛夫	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Merovincha	梅洛文查	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Methalor	梅塔洛	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Methusela	玛士撒拉	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Minea	米尼亚	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Mitra Prime	米特拉主星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Mordian	莫迪安	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Morrigar	摩利伽	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Necromunda	涅克罗蒙达	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Nonimax	诺尼马克斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Nostramo	诺斯特拉莫	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Nova Sulis	新苏利斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Nova Terra (Constantinium)	新泰拉	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Nucon VI	努康六号	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Optima Prima	奥普蒂玛主星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Orar	奥拉尔	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Orphidia Delta	奥尔菲迪亚·德尔塔	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Persepolis	珀塞波利斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Phaenon Prime	菲安农主星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Piety	虔诚星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Port Maw	巨口港	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Praedis Zeta	普雷迪斯·泽塔	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Praetoria	普雷托利亚	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Prol IX	普罗尔九号	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Radnar	拉德纳	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Raxos	帕克索斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Rebas	雷巴斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Regallus	雷伽鲁斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Rora	罗拉	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Saint Marduk's Bane	圣马尔杜克之祸	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Samson IV	萨姆森四号	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Schrödinger VII	薛定谔七号	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Scintilla	辛提拉	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Sephlagm	塞弗拉格姆	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Shardenus	沙迪努斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Shroud	裹尸布	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Solomon	所罗门	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Stalinvast	斯大林瓦斯特	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Subiaco Diablo	苏比亚科·迪亚波罗	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Tanis	塔尼斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Targus VIII	塔古斯八号	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Temperis	坦佩里斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Tephaine	忒法因	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Terra	泰拉	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Thical	西卡尔	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Thracian Primaris	色雷斯主星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Thranx	特兰克斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Thridia	西利迪亚	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Tobias Halt	托比亚斯·哈尔特	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Tranch	特伦奇	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Vanqualis	凡奎利斯	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Vaust	沃斯特	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Vaxanide	瓦萨尼德	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Vendettum	文迪图姆	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Verghast	维尔加斯特	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Vigilus	警戒星	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Volcanis Ultor	火山复仇者	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Vorsk	沃尔斯克	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Vyaniah	维亚尼亚	暂定·官方待核	所给英文底稿	篇0863	按英文语境沿现稿或修正；官方对应待核。
Forge World	铸造世界	暂定·官方待核	所给英文底稿	篇0864	按英文语境沿现稿或修正；官方对应待核。
Ordinati	百机战争机器	暂定·官方待核	所给英文底稿	篇0864	按英文语境沿现稿或修正；官方对应待核。
Magisterium	辖区裁判所	暂定·官方待核	所给英文底稿	篇0864	按英文语境沿现稿或修正；官方对应待核。
Tech-Thralls	技术奴工	暂定·官方待核	所给英文底稿	篇0864	按英文语境沿现稿或修正；官方对应待核。
Binharic	二进制语	暂定·官方待核	所给英文底稿	篇0864	按英文语境沿现稿或修正；官方对应待核。
Credo Omniasiah	欧姆尼赛亚信条	暂定·官方待核	所给英文底稿	篇0864	按英文语境沿现稿或修正；官方对应待核。
Alpha Primus (Forge World)	阿尔法一号（铸造世界）	暂定·官方待核	所给英文底稿	篇0864	按英文语境沿现稿或修正；官方对应待核。
