英文标准词	采用中文	译名状态	依据	定位	编辑说明
Medusa Siege Tank	美杜莎攻城坦克	暂定·官方待核	所给英文底稿	篇1526	按英文语境沿现稿或修正；官方对应待核。
Medusa Siege Gun	美杜莎攻城炮	暂定·官方待核	所给英文底稿	篇1526	按英文语境沿现稿或修正；官方对应待核。
Vulcanor 16	Vulcanor 16（动力装置）	暂定·官方待核	所给英文底稿	篇1526	按英文语境沿现稿或修正；官方对应待核。
Galan V	加兰五号	暂定·官方待核	所给英文底稿	篇1526	按英文语境沿现稿或修正；官方对应待核。
Palladius 2nd Armoured Regiment	帕拉迪乌斯第2装甲团	暂定·官方待核	所给英文底稿	篇1526	按英文语境沿现稿或修正；官方对应待核。
Sallan’s World Crusade	萨尔兰世界远征	暂定·官方待核	所给英文底稿	篇1526	按英文语境沿现稿或修正；官方对应待核。
Typhon Heavy Siege Tank	提丰重型攻城坦克	暂定·官方待核	所给英文底稿	篇1527	按英文语境沿现稿或修正；官方对应待核。
Flare Shields	闪光护盾	暂定·官方待核	所给英文底稿	篇1527	按英文语境沿现稿或修正；官方对应待核。
Deathbringer (Typhon)	死亡使者号（提丰坦克）	暂定·官方待核	所给英文底稿	篇1527	按英文语境沿现稿或修正；官方对应待核。
Voice of Fury	愤怒之声号	暂定·官方待核	所给英文底稿	篇1527	按英文语境沿现稿或修正；官方对应待核。
Arquitor Bombard Artillery Tank	曲射手臼炮火炮坦克	暂定·官方待核	所给英文底稿	篇1528	按英文语境沿现稿或修正；官方对应待核。
Vindictis	温迪克斯	暂定·官方待核	所给英文底稿	篇1529	按英文语境沿现稿或修正；官方对应待核。
Vindictus	温迪克斯	暂定·官方待核	所给英文底稿	篇1529	按英文语境沿现稿或修正；官方对应待核。
Rostern	罗斯特恩	暂定·官方待核	所给英文底稿	篇1529	按英文语境沿现稿或修正；官方对应待核。
Rothern I	罗瑟恩一号	暂定·官方待核	所给英文底稿	篇1529	按英文语境沿现稿或修正；官方对应待核。
Thessaly Regime	色萨利政权	暂定·官方待核	所给英文底稿	篇1529	按英文语境沿现稿或修正；官方对应待核。
Litany of Demolition	摧毁祷文	暂定·官方待核	所给英文底稿	篇1529	按英文语境沿现稿或修正；官方对应待核。
Deimos Pattern Vindicator	迪莫斯型维护者	暂定·官方待核	所给英文底稿	篇1529	按英文语境沿现稿或修正；官方对应待核。
Reaper (Vindicator)	收割者号（维护者战车）	暂定·官方待核	所给英文底稿	篇1529	按英文语境沿现稿或修正；官方对应待核。
Thunderheart	雷霆之心号	暂定·官方待核	所给英文底稿	篇1529	按英文语境沿现稿或修正；官方对应待核。
Miral Prime	米拉尔主星	暂定·官方待核	所给英文底稿	篇1529	按英文语境沿现稿或修正；官方对应待核。
Heavy Quad-Launcher	重型四管发射器	暂定·官方待核	所给英文底稿	篇1531	按英文语境沿现稿或修正；官方对应待核。
Thudd Gun	砰砰炮	暂定·官方待核	所给英文底稿	篇1531	按英文语境沿现稿或修正；官方对应待核。
Engineers Guilds	工程师行会	暂定·官方待核	所给英文底稿	篇1531	按英文语境沿现稿或修正；官方对应待核。
Deathstrike Missile Launcher	死亡直击导弹车	暂定·官方待核	所给英文底稿	篇1532	按英文语境沿现稿或修正；官方对应待核。
Baric Six	巴里克六号	暂定·官方待核	所给英文底稿	篇1532	按英文语境沿现稿或修正；官方对应待核。
Steel Might	钢铁力量号	暂定·官方待核	所给英文底稿	篇1532	按英文语境沿现稿或修正；官方对应待核。
Haywire Missile	紊乱导弹	暂定·官方待核	所给英文底稿	篇1532	按英文语境沿现稿或修正；官方对应待核。
Solfire Missile	阳炎导弹	暂定·官方待核	所给英文底稿	篇1532	按英文语境沿现稿或修正；官方对应待核。
Godspear Warhead	神矛弹头	暂定·官方待核	所给英文底稿	篇1532	按英文语境沿现稿或修正；官方对应待核。
Harpoon Missile	鱼叉导弹	暂定·官方待核	所给英文底稿	篇1532	按英文语境沿现稿或修正；官方对应待核。
Barrage Missile	弹幕导弹	暂定·官方待核	所给英文底稿	篇1532	按英文语境沿现稿或修正；官方对应待核。
Muspel	穆斯贝尔	暂定·官方待核	所给英文底稿	篇1533	按英文语境沿现稿或修正；官方对应待核。
Deathstrike	死亡直击导弹车	官方已核对	GW-04；GW-11	同版2024.10索引第95页	中英同页对应单位、武器或叙述称谓。
Deathstrike Missile	死亡直击导弹	官方已核对	GW-04；GW-11	同版2024.10索引第95页	中英同页对应单位、武器或叙述称谓。
Ordnance Extremis	绝境兵器	官方已核对	GW-04；GW-11	同版2024.10索引第96页	中英同页对应单位、武器或叙述称谓。
Corvus Assault Pod	渡鸦突击舱	暂定·官方待核	所给英文底稿	篇1534	按英文语境沿现稿或修正；官方对应待核。
Deathstorm Drop Pod	死亡风暴空降舱	暂定·官方待核	所给英文底稿	篇1534	按英文语境沿现稿或修正；官方对应待核。
Deathwind Drop Pod	死风空降舱	暂定·官方待核	所给英文底稿	篇1534	按英文语境沿现稿或修正；官方对应待核。
Dreadnought Drop Pod	无畏机甲空降舱	暂定·官方待核	所给英文底稿	篇1534	按英文语境沿现稿或修正；官方对应待核。
Support Drop Pod	支援空降舱	暂定·官方待核	所给英文底稿	篇1534	按英文语境沿现稿或修正；官方对应待核。
Carrier Ascent Pod	运载上升舱	暂定·官方待核	所给英文底稿	篇1534	按英文语境沿现稿或修正；官方对应待核。
Legion Palisade Drop Pod	军团帕利塞德空降舱	暂定·官方待核	所给英文底稿	篇1534	按英文语境沿现稿或修正；官方对应待核。
Dominica-pattern Drop Pod	多米尼卡型空降舱	暂定·官方待核	所给英文底稿	篇1534	按英文语境沿现稿或修正；官方对应待核。
Hammer of Thor	雷神之锤号	暂定·官方待核	所给英文底稿	篇1534	按英文语境沿现稿或修正；官方对应待核。
Space Marine Landing Craft	星际战士登陆艇	暂定·官方待核	所给英文底稿	篇1536	按英文语境沿现稿或修正；官方对应待核。
Spaetum Assault Ram	斯佩图姆突击撞击艇	暂定·官方待核	所给英文底稿	篇1537	按英文语境沿现稿或修正；官方对应待核。
Misericordia (Caestus system)	仁慈系统	暂定·官方待核	所给英文底稿	篇1538	按英文语境沿现稿或修正；官方对应待核。
Misericorde (Caestus system)	仁慈系统	暂定·官方待核	所给英文底稿	篇1538	按英文语境沿现稿或修正；官方对应待核。
Firefury Missile Launcher	炽怒导弹发射器	暂定·官方待核	所给英文底稿	篇1538	按英文语境沿现稿或修正；官方对应待核。
Amaranth Fang	不朽獠牙号	暂定·官方待核	所给英文底稿	篇1538	按英文语境沿现稿或修正；官方对应待核。
Gore Dagger	血腥匕首号	暂定·官方待核	所给英文底稿	篇1538	按英文语境沿现稿或修正；官方对应待核。
Secutor Crimson	绯红追击者号	暂定·官方待核	所给英文底稿	篇1538	按英文语境沿现稿或修正；官方对应待核。
Spectre of Death	死亡怨灵号	暂定·官方待核	所给英文底稿	篇1538	按英文语境沿现稿或修正；官方对应待核。
Stormbird Dropship	风暴鸟空降艇	暂定·官方待核	所给英文底稿	篇1539	按英文语境沿现稿或修正；官方对应待核。
Sokar Pattern Stormbird	索卡型风暴鸟	暂定·官方待核	所给英文底稿	篇1539	按英文语境沿现稿或修正；官方对应待核。
Nephoros Class Assault Craft	内普罗斯级突击艇	暂定·官方待核	所给英文底稿	篇1539	按英文语境沿现稿或修正；官方对应待核。
Apophis pattern Stormbird	阿波菲斯型风暴鸟	暂定·官方待核	所给英文底稿	篇1539	按英文语境沿现稿或修正；官方对应待核。
Sykri pattern Stormbird	西克里型风暴鸟	暂定·官方待核	所给英文底稿	篇1539	按英文语境沿现稿或修正；官方对应待核。
Warhawk VI	战鹰 VI 型	暂定·官方待核	所给英文底稿	篇1539	按英文语境沿现稿或修正；官方对应待核。
Heilmark	海尔马克	暂定·官方待核	所给英文底稿	篇1539	按英文语境沿现稿或修正；官方对应待核。
Bloodstrike (Stormbird)	鲜血打击号（风暴鸟）	暂定·官方待核	所给英文底稿	篇1539	按英文语境沿现稿或修正；官方对应待核。
Dreadstrike Missile	恐惧打击导弹	暂定·官方待核	所给英文底稿	篇1539	按英文语境沿现稿或修正；官方对应待核。
Hawkwing	鹰翼	暂定·官方待核	所给英文底稿	篇1540	按英文语境沿现稿或修正；官方对应待核。
Hawkwing Assault Transport Aircraft	鹰翼突击运输机	暂定·官方待核	所给英文底稿	篇1540	按英文语境沿现稿或修正；官方对应待核。
Orgus Flyer	奥格斯飞行器	暂定·官方待核	所给英文底稿	篇1541	按英文语境沿现稿或修正；官方对应待核。
Xiphon Pattern Interceptor	剑尾型截击机	暂定·官方待核	所给英文底稿	篇1542	按英文语境沿现稿或修正；官方对应待核。
Amhut Voyager	安哈特航行者	暂定·官方待核	所给英文底稿	篇1542	按英文语境沿现稿或修正；官方对应待核。
Rhadamanthys Enclave	拉达曼迪斯飞地	暂定·官方待核	所给英文底稿	篇1542	按英文语境沿现稿或修正；官方对应待核。
Wrath fighter	愤怒战斗机	暂定·官方待核	所给英文底稿	篇1542	按英文语境沿现稿或修正；官方对应待核。
Xiphon Rotary Missile Launcher	剑尾旋转导弹发射器	暂定·官方待核	所给英文底稿	篇1542	按英文语境沿现稿或修正；官方对应待核。
Infernum Halo Launcher	炼狱光环发射器	暂定·官方待核	所给英文底稿	篇1543	按英文语境沿现稿或修正；官方对应待核。
Kyrolius	基洛留斯	暂定·官方待核	所给英文底稿	篇1543	按英文语境沿现稿或修正；官方对应待核。
Deathbird Interceptor	死亡鸟拦截机	暂定·官方待核	所给英文底稿	篇1544	按英文语境沿现稿或修正；官方对应待核。
Swordstrike Interceptor	剑击截击机	暂定·官方待核	所给英文底稿	篇1545	按英文语境沿现稿或修正；官方对应待核。
Lightning Crow Strike Fighter	闪电鸦攻击战斗机	暂定·官方待核	所给英文底稿	篇1546	按英文语境沿现稿或修正；官方对应待核。
Rift Cannon	裂隙加农炮	暂定·官方待核	所给英文底稿	篇1547	按英文语境沿现稿或修正；官方对应待核。
Caliban's Vengeance	卡利班的复仇号	暂定·官方待核	所给英文底稿	篇1547	按英文语境沿现稿或修正；官方对应待核。
Lotus Fighter	莲花战斗机	暂定·官方待核	所给英文底稿	篇1548	按英文语境沿现稿或修正；官方对应待核。
Baelor the Imposter	冒名者贝勒	暂定·官方待核	所给英文底稿	篇1549	按英文语境沿现稿或修正；官方对应待核。
Lionheart Engine	狮心引擎	暂定·官方待核	所给英文底稿	篇1549	按英文语境沿现稿或修正；官方对应待核。
Kundra	昆德拉	暂定·官方待核	所给英文底稿	篇1549	按英文语境沿现稿或修正；官方对应待核。
Blacksword Missile	黑剑导弹	暂定·官方待核	所给英文底稿	篇1549	按英文语境沿现稿或修正；官方对应待核。
Avenger Mega Bolter	复仇者巨型爆矢枪	暂定·官方待核	所给英文底稿	篇1549	按英文语境沿现稿或修正；官方对应待核。
Stormwolf Assault Craft	风暴狼突击艇	暂定·官方待核	所给英文底稿	篇1550	按英文语境沿现稿或修正；官方对应待核。
Hrangnir's Vengeance	赫朗格尼尔的复仇号	暂定·官方待核	所给英文底稿	篇1550	按英文语境沿现稿或修正；官方对应待核。
Jorek	乔瑞克号	暂定·官方待核	所给英文底稿	篇1550	按英文语境沿现稿或修正；官方对应待核。
Erik Sverngson	埃里克·斯韦恩松	暂定·官方待核	所给英文底稿	篇1550	按英文语境沿现稿或修正；官方对应待核。
Star Boat	星舟号	暂定·官方待核	所给英文底稿	篇1550	按英文语境沿现稿或修正；官方对应待核。
Castellan Bomber	堡主轰炸机	暂定·官方待核	所给英文底稿	篇1551	按英文语境沿现稿或修正；官方对应待核。
Apis Bomber	蜜蜂轰炸机	暂定·官方待核	所给英文底稿	篇1552	按英文语境沿现稿或修正；官方对应待核。
Thunderhawk Transporter	雷鹰运输机	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Thunderhawk Annihilator	雷鹰歼灭者	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Shadowhawk	影鹰	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Cygnus class Machine Spirit	天鹅座级机魂	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Hellstrike Missile	地狱打击导弹	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Annihilator Cannon	歼灭加农炮	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Mindstrike Missile	精神打击导弹	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Gladius (Thunderhawk)	格雷迪厄斯	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Herald IV	先驱四号	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Masali Spear	马萨里长矛	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Oath of Guilliman	基里曼之誓	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Pilum (Thunderhawk)	重标枪	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Reign of Vengeance	复仇统治	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Roar of Vengeance	复仇咆哮	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Spatha (Thunderhawk)	长剑	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Votive IX	誓言九号	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Xiphos (Thunderhawk)	短剑	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Maledictor Audax	无畏诅咒者	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Umbra Scion	影裔	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Wings of Deliverance	拯救之翼号	暂定·官方待核	所给英文底稿	篇1553	按英文语境沿现稿或修正；官方对应待核。
Skylance Gunship	天空长枪炮艇	暂定·官方待核	所给英文底稿	篇1554	按英文语境沿现稿或修正；官方对应待核。
Overlord Gunship	霸主炮艇	暂定·官方待核	所给英文底稿	篇1556	按英文语境沿现稿或修正；官方对应待核。
Desolator Lascannon	黯灭激光炮	暂定·官方待核	所给英文底稿	篇1556	按英文语境沿现稿或修正；官方对应待核。
Buckler-class Void Shield	圆盾级虚空盾	暂定·官方待核	所给英文底稿	篇1556	按英文语境沿现稿或修正；官方对应待核。
Adriaticus	阿德里亚蒂库斯	暂定·官方待核	所给英文底稿	篇1556	按英文语境沿现稿或修正；官方对应待核。
Jove	朱庇特	暂定·官方待核	所给英文底稿	篇1556	按英文语境沿现稿或修正；官方对应待核。
Scion of Ultramar	奥特拉玛之裔号	暂定·官方待核	所给英文底稿	篇1556	按英文语境沿现稿或修正；官方对应待核。
Bloodstrike Missile	鲜血打击导弹	暂定·官方待核	所给英文底稿	篇1557	按英文语境沿现稿或修正；官方对应待核。
Stormstrike Missile	风暴打击导弹	暂定·官方待核	所给英文底稿	篇1557	按英文语境沿现稿或修正；官方对应待核。
Angelsword	天使之剑	暂定·官方待核	所给英文底稿	篇1557	按英文语境沿现稿或修正；官方对应待核。
Clarion Dawn	号角黎明	暂定·官方待核	所给英文底稿	篇1557	按英文语境沿现稿或修正；官方对应待核。
Fury of Macragge	马库拉格之怒	暂定·官方待核	所给英文底稿	篇1557	按英文语境沿现稿或修正；官方对应待核。
Purgation's Sword	净化之剑号	暂定·官方待核	所给英文底稿	篇1557	按英文语境沿现稿或修正；官方对应待核。
Sword of the Emperor (Stormraven)	帝皇之剑（风暴鸦）	暂定·官方待核	所给英文底稿	篇1557	按英文语境沿现稿或修正；官方对应待核。
Ebron Valdermar	埃布伦·瓦尔德马尔	暂定·官方待核	所给英文底稿	篇1557	按英文语境沿现稿或修正；官方对应待核。
Guilliman's Arrow	基里曼之箭	暂定·官方待核	所给英文底稿	篇1558	按英文语境沿现稿或修正；官方对应待核。
Stormcrow Gunship	风暴乌鸦炮艇	暂定·官方待核	所给英文底稿	篇1559	按英文语境沿现稿或修正；官方对应待核。
