英文标准词	采用中文	译名状态	依据	定位	编辑说明
Paramar V	帕拉马尔五号	暂定·官方待核	英文底稿	第776篇 B0011	沿现稿世界名。
Paramar Nexus	帕拉马尔枢纽	暂定·官方待核	英文底稿	第776篇 B0028	太空港与设施名。
Blood Princeps Nistru	鲜血首席尼斯特鲁	暂定·官方待核	英文底稿	第776篇 B0017	沿现稿职衔和姓名。
Castellan-Archmagos Suyria Nihhon	堡主大贤者苏伊瑞亚·尼洪	暂定·官方待核	英文底稿	第776篇 B0017	机械教统帅职衔，不等同星际战士堡主。
Princeps-Master Chartain Baldur	首席大师沙尔坦·巴尔杜尔	暂定·官方待核	英文底稿	第776篇 B0017	泰坦统帅。
Legio Fureans	愤怒者军团	暂定·官方待核	英文底稿	第776篇 B0026	泰坦军团。
Legio Gryphonicus	狮鹫军团	暂定·官方待核	英文底稿	第776篇 B0026	泰坦军团。
Spartoí	龙牙密探	暂定·官方待核	英文底稿	第776篇 B0019	阿尔法军团密探，沿现稿。
Taghmata Paramar	帕拉马尔禁卫军	暂定·官方待核	英文底稿	第776篇 B0026	机械教军队，按既定Taghmata禁卫军词根，不与帝皇禁军相混。
Terminus	终点站	暂定·官方待核	英文底稿	第776篇 B0028	基地专名，沿原稿。
Evander Garrius	伊万德·加里乌斯	暂定·官方待核	英文底稿	第777篇 B0016	沿386/387人物名，统一埃文德异译。
Marduk Sedras	玛杜克·赛德拉斯	暂定·官方待核	英文底稿	第777篇 B0016	沿326/386暗黑天使人物全名，区别怀言者Marduk。
Imran Adarus	伊姆兰·阿达鲁斯	暂定·官方待核	英文底稿	第777篇 B0016	领事连长。
Arkai Nomus	阿尔凯·诺穆斯	暂定·官方待核	英文底稿	第777篇 B0016	机械教大贤者。
Sul Kontep	苏尔·孔泰普	暂定·官方待核	英文底稿	第777篇 B0016	忠诚派千子魔学士。
Ambriel Malineux	安布丽尔·马利纽克斯	暂定·官方待核	英文底稿	第777篇 B0016	静默修女指挥官。
Sember Atriox	森伯·阿崔奥克斯	暂定·官方待核	英文底稿	第777篇 B0016	帝国军统帅。
Zedak Mordakar	泽达克·莫达卡	暂定·官方待核	英文底稿	第777篇 B0016	怀言者人物。
Draykavac	德拉卡瓦克	暂定·官方待核	英文底稿	第777篇 B0016	机械教大贤者。
Ferrok Trahn	费罗克·特拉恩	暂定·官方待核	英文底稿	第777篇 B0016	机械教大贤者。
Incursus	侵袭	暂定·官方待核	英文底稿	第777篇 B0016	阿尔法军团首领代号，沿现稿。
Ithan Ryaeve	伊桑·莱亚维	暂定·官方待核	英文底稿	第777篇 B0016	荷鲁斯之子头目。
Boros Kurn	博洛斯·科恩	暂定·官方待核	英文底稿	第777篇 B0016	百夫长。
Inductii	速征军	暂定·官方待核	英文底稿	第777篇 B0037	沿现稿称谓；个体用速征军战士，指快速改造的新兵。
Passage of the Angels	天使前进	暂定·官方待核	英文底稿	第777篇 B0041	沿804篇标题的战役名，非天使通道。
Pharos Obscurus	朦胧灯塔	暂定·官方待核	英文底稿	第777篇 B0039	流明塔设施，沿现稿。
Terminal Atlas	阿特拉斯航空站	暂定·官方待核	英文底稿	第777篇 B0026	科索尼亚设施；与971同物，连接地表与轨道平台的太空电梯，沿既有名称。
Charonid Sentinels	卡戎尼德哨兵	暂定·官方待核	英文底稿	第777篇 B0080	不同于Cthonian科索尼亚，原译混淆。
Praesidium Arx	守卫堡垒	暂定·官方待核	英文底稿	第777篇 B0062	沿本篇设施名。
Shaitan's Bowl	撒旦之碗	暂定·官方待核	英文底稿	第777篇 B0065	沿本篇盐滩专名。
Bastion Aleph-prime	阿列夫一号堡垒	暂定·官方待核	英文底稿	第777篇 B0072	沿本篇设施名。
Vorax Class Robot	沃拉克斯级机兵	暂定·官方待核	英文底稿	第777篇 B0080	沿核心Vorax词根，原贪婪级。
Sabre Strike Tank	军刀突击坦克	暂定·官方待核	英文底稿	第777篇 B0069	载具名，统一原攻击。
Burden of Duty	职责重担号	暂定·官方待核	英文底稿	第777篇 B0058	荣光女王级战列舰。
Grendel	格伦德尔号	暂定·官方待核	英文底稿	第777篇 B0058	各各他级工厂舰。
Warp-spite	亚空间恶意号	暂定·官方待核	英文底稿	第777篇 B0058	贸易驳船。
Imperialis Armada	帝国舰队	暂定·官方待核	英文底稿	第777篇 B0164	舰队总称；无无敌含义。
Onyx Hounds	玛瑙猎犬	暂定·官方待核	英文底稿	第777篇 B0168	静默修女骨干连，沿原稿。
Cetechists of the New Dawn	新黎明教理师	暂定·官方待核	英文底稿	第777篇 B0230	疑Catechists异拼，原文不改，译名待核。
Legio Astraman	旅星者军团	暂定·官方待核	英文底稿	第777篇 B0143	泰坦军团，沿原稿。
Legio Osedax	食骨军团	暂定·官方待核	英文底稿	第777篇 B0145	泰坦军团，沿原稿。
Legio Ulricon	狼权军团	暂定·官方待核	英文底稿	第777篇 B0214	泰坦军团，沿原稿。
Legio Andrastus	安德拉斯图斯军团	暂定·官方待核	英文底稿	第777篇 B0216	泰坦军团，沿原稿。
Legio Magna	宏伟军团	暂定·官方待核	英文底稿	第777篇 B0218	泰坦军团，沿原稿。
