英文标准词	采用中文	译名状态	依据	定位	编辑说明
Prefect	长官	暂定·官方待核	所给英文底稿	A0626-B0001	此处禁军亥卡纳托阶层职衔；非现代行政区称呼。
Ra Endymion	拉·恩底弥翁	暂定·官方待核	所给英文底稿	A0627-B0001	沿本稿姓名。
House Vyridion	维里迪恩家族	暂定·官方待核	所给英文底稿	A0626-B0006	沿本稿。
Koja Zu	科嘉·祖	暂定·官方待核	所给英文底稿	A0627-B0004	沿本稿。
Squad Dynastes	王朝小队	暂定·官方待核	所给英文底稿	A0627-B0006	沿本稿，组织别称 Lords of Terra 泰拉领主。
Meridian Swords	子午双剑	暂定·官方待核	所给英文底稿	A0627-B0014	指一对剑；沿用武器名并纠正原译数量。
Harr Rantal	哈尔·兰塔尔	暂定·官方待核	所给英文底稿	A0628-B0001	Rental 为本篇误拼，不另立人物。
Sire Vanus	赛尔·瓦努斯	暂定·官方待核	所给英文底稿	A0629-B0001	沿本篇标题；Sire 的头衔性质留待人物专名官方依据核实。
Chosen of Malcador	马卡多受选者	暂定·官方待核	所给英文底稿	A0629-B0003	由原文组织称谓提取，避免误读成形容个人受马卡多任命。
Khalid Hassan	哈立德·哈桑	暂定·官方待核	所给英文底稿	A0629-B0003	沿本稿。
Adreen	阿德林	暂定·官方待核	所给英文底稿	A0630-B0001	沿本稿。
Niora Su-Kassen	尼奥拉·苏·卡森	暂定·官方待核	所给英文底稿	A0630-B0005	沿本稿。
Actae	阿克泰	暂定·官方待核	所给英文底稿	A0631-B0008	Actaea 同人物变体，沿已定阿克泰。
Mourn-It-All	哀悼一切	暂定·官方待核	所给英文底稿	A0631-B0021	洛肯的剑，沿本稿。
Mirror-Caliban	镜像卡利班	暂定·官方待核	所给英文底稿	A0632-B0100	沿本稿，神秘空间。
Forestwalk	森林穿行	暂定·官方待核	所给英文底稿	A0632-B0104	沿本稿能力名。
Zabriel	扎布里尔	暂定·官方待核	所给英文底稿	A0632-B0100	沿本稿。
Seraphax	塞拉法克斯	暂定·官方待核	所给英文底稿	A0632-B0106	沿本稿。
Camarth	卡玛斯	暂定·官方待核	所给英文底稿	A0632-B0100	沿本稿。
Avalus	阿瓦卢斯	暂定·官方待核	所给英文底稿	A0632-B0106	原阿瓦隆斯多出 n 音，暂校正。
Sable	暗夜星	暂定·官方待核	所给英文底稿	A0632-B0106	沿原稿暗夜世界名称；区别卡玛斯、阿瓦卢斯。
Tuchulcha	图丘查	暂定·官方待核	所给英文底稿	A0632-B0060	沿本稿。
Zahariel	扎哈瑞尔	暂定·官方待核	所给英文底稿	A0632-B0025	统一同篇扎哈里尔异译。
Fealty	忠诚	暂定·官方待核	所给英文底稿	A0632-B0110	动力剑名；书写时加引号以区分普通忠诚。
Knight of Nihilus	暗面骑士	暂定·官方待核	所给英文底稿	A0632-B0119	沿本稿，雄狮归来后的称号。
Shield Worlds	盾牌诸世界	暂定·官方待核	所给英文底稿	A0632-B0055	沿原“盾牌世界”作复数整理，专名待核。
Diamat	迪亚马特	暂定·官方待核	所给英文底稿	A0632-B0055	统一原同篇提亚马特异写。
Gramarye	格拉马利	暂定·官方待核	所给英文底稿	A0632-B0027	沿本稿。
Lion Guard	狮子卫队	暂定·官方待核	所给英文底稿	A0632-B0106	辅助军组织，非原体卫士泛称。
Ten Thousand Eyes	万眼	暂定·官方待核	所给英文底稿	A0632-B0106	战帮名称，沿本稿。
Captain-Paladin	圣骑士连长	暂定·官方待核	所给英文底稿	A0633-B0002	黑暗天使军团职衔，沿本稿。
Mantle of the Champion	冠军斗篷	暂定·官方待核	所给英文底稿	A0633-B0011	考斯韦恩圣物，沿本稿。
Alajos	阿拉霍斯	暂定·官方待核	所给英文底稿	A0633-B0011	沿本稿。
Zahariel El'Zurias	扎哈瑞尔·艾尔’苏里亚斯	暂定·官方待核	所给英文底稿	A0633-B0026	首名依632先出现译法统一；原扎哈里尔变体。
Hollow Mountain	空心山脉	暂定·官方待核	所给英文底稿	A0633-B0022	沿本稿，星炬所在地。
Kimmeria	基梅里亚	暂定·官方待核	所给英文底稿	A0634-B0008	沿本稿，征兵世界。
Naberius	纳贝流士	暂定·官方待核	所给英文底稿	A0634-B0012	沿本稿。
Keeper of the Truth	真理守护者	暂定·官方待核	所给英文底稿	A0634-B0012	黑暗天使战团長所持称号，沿本稿。
Sword of Secrets	秘密之剑	暂定·官方待核	所给英文底稿	A0634-B0029	沿本稿，精工武器，不认定本人制造。
The Protector	守护者	暂定·官方待核	所给英文底稿	A0634-B0029	阿兹瑞尔动力甲，采用核心同词根译法。
The Lion's Wrath	狮子之怒	暂定·官方待核	所给英文底稿	A0634-B0029	沿本稿，组合等离子枪。
Turmiel	图米尔	暂定·官方待核	所给英文底稿	A0635-B0012	沿本稿。
Danatheum	达纳修姆	暂定·官方待核	所给英文底稿	A0635-B0016	沿本稿，前任智库员大导师。
Marwent's Reach	马尔温特疆域星	暂定·官方待核	所给英文底稿	A0635-B0034	世界名，原河段误套普通词义；暂译待核。
Book of Salvation	救赎之书	暂定·官方待核	所给英文底稿	A0635-B0001	沿本稿。
Holder of the Keys	执钥者	暂定·官方待核	所给英文底稿	A0635-B0001	持有开启巨石各处门户的钥匙的正式头衔，按上下文暂译。
Secret's Shield	秘密之盾	暂定·官方待核	所给英文底稿	A0635-B0040	以西结的精工甲，沿本稿。
Traitor's Bane	叛徒之灾	暂定·官方待核	所给英文底稿	A0635-B0040	以西结的灵能剑，沿本稿。
Blades of Reason	理性之刃	暂定·官方待核	所给英文底稿	A0636-B0010	审讯教士拷问装置，沿本稿。
Master Interrogator-Chaplain	审讯教士导师	暂定·官方待核	所给英文底稿	A0636-B0001	职衔按已核 Chaplain 教士统一，完整复合职衔仍暂定。
Society of the Ebon Star	黑檀之星社	暂定·官方待核	所给英文底稿	A0637-B0006	贝利亚出生的骑士组织；缩短协会字面译法，保留专名。
Furion	弗里翁	暂定·官方待核	所给英文底稿	A0637-B0008	原法里奥，按英文纠正音译；战役名与人名待核。
Traitorous Ire	叛徒之怒号	暂定·官方待核	所给英文底稿	A0638-B0008	混沌掠夺者级泰坦，沿本稿专名。
Netherworld Blade	冥界之刃号	暂定·官方待核	所给英文底稿	A0638-B0016	噩兆方舟名称，沿本稿。
Sword of Silence	寂静之剑	暂定·官方待核	所给英文底稿	A0637-B0025	贝利亚精工动力剑，沿本稿。
The Doom of Droslin	德罗斯林的毁灭	暂定·官方待核	所给英文底稿	A0639-B0029	卡利班旧故事，沿本稿。
Spiritshield Helm	灵盾头盔	暂定·官方待核	所给英文底稿	A0639-B0037	沿本稿。
Enmity's Edge	仇恨之刃	暂定·官方待核	所给英文底稿	A0639-B0037	沿本稿。
Galleria Aspocondael	阿斯波康戴尔拱廊	暂定·官方待核	所给英文底稿	A0639-B0022	巨石地点。
Gallerium Exactor	强征大厅	暂定·官方待核	所给英文底稿	A0639-B0022	巨石地点，沿用现稿待核。
Oathway	誓言之路	暂定·官方待核	所给英文底稿	A0639-B0022	巨石地点，沿现稿。
wire-storm	线暴	暂定·官方待核	所给英文底稿	A0640-B0009	原雷暴；英文特有写法具体物理含义未说明，暂保留并校注。
Sulpha	苏尔法	暂定·官方待核	所给英文底稿	A0640-B0015	剑舞者所属专名，非普通名词硫磺。
Caretakers	看护者	暂定·官方待核	所给英文底稿	A0640-B0018	彻莫斯要塞工厂军警，原看门人／警卫异译。
Forgebreaker	破炉者	暂定·官方待核	所给英文底稿	A0640-B0028	雷霆锤，沿本稿。
Fireblade	火焰剑	暂定·官方待核	所给英文底稿	A0640-B0028	费鲁斯为福格瑞姆打造的动力剑。
Silver Blade of Laer	莱尔银刃	暂定·官方待核	所给英文底稿	A0640-B0030	依 Laer 莱尔统一本篇刺人银刃；魔剑全名待核。
Blade of Laer	莱尔之刃	暂定·官方待核	所给英文底稿	A0640-B0102	同上魔剑的短形式。
Maugetar stone	莫甘塔尔之石	暂定·官方待核	所给英文底稿	A0640-B0052	汲取佩图拉博力量的宝石，沿本稿。
Cacophony of Extremis Six	埃克斯特里米斯六号喧嚣事件	暂定·官方待核	所给英文底稿	A0640-B0077	按529既有定译。
Arch-Consul	首席执政官	暂定·官方待核	所给英文底稿	A0640-B0079	马库拉格职衔，原总领事误引现代外交制度。
Blades of the Phoenician	紫庭凤凰之刃	暂定·官方待核	所给英文底稿	A0640-B0087	福格瑞姆变化多端武器的统称。
Gilded Panoply	覆金之铠	暂定·官方待核	所给英文底稿	A0640-B0100	沿本稿。
Firebrand	纵火者	暂定·官方待核	所给英文底稿	A0640-B0100	福格瑞姆个人爆燃突击铳，沿本稿。
Serena D'Angelus	塞雷娜·D’安洁洛斯	暂定·官方待核	所给英文底稿	A0640-B0041	沿本稿。
Ostian Delafour	奥斯蒂安·德拉富尔	暂定·官方待核	所给英文底稿	A0640-B0041	沿本稿。
Primogenitor (Fabius Bile)	始祖	暂定·官方待核	所给英文底稿	A0641-B0003	拜尔尊号，区别长子战团称呼。
Enhanced Warriors	增强战士	暂定·官方待核	所给英文底稿	A0641-B0003	沿本稿。
Terata	特拉塔	暂定·官方待核	所给英文底稿	A0641-B0023	拜尔改造战士，沿本稿。
Gland-hounds	腺体猎犬	暂定·官方待核	所给英文底稿	A0641-B0086	沿本稿，群猎星际战士回收种子的改造人。
New Men	新人类	暂定·官方待核	所给英文底稿	A0641-B0084	拜尔计划中的改造人种族。
Vat-born	缸裔	暂定·官方待核	所给英文底稿	A0641-B0090	培养槽培育的造物；后代可以自行繁殖。
Petros the Bezoar	佩特罗斯（Bezoar）	暂定·官方待核	所给英文底稿	A0641-B0058	原译卡里不符英文，首名暂音译，绰号保留英文待核。
Splices	拼接体	暂定·官方待核	所给英文底稿	A0641-B0102	人类与动物基因混合造物，原剪接体。
The Enlightener	启蒙者	暂定·官方待核	所给英文底稿	A0641-B0108	阿根托·科里安尸体改造的傀儡。
The Chirurgeon	外科医生	暂定·官方待核	所给英文底稿	A0641-B0117	拜尔背部机械装置专名，非人类职衔。
Rod of Torment	折磨权杖	暂定·官方待核	所给英文底稿	A0641-B0121	沿本稿。
Xyclos Needler	灾剂针枪	暂定·官方待核	所给英文底稿	A0641-B0123	沿本稿。
Mind-worm	心灵蠕虫	暂定·官方待核	所给英文底稿	A0641-B0100	记录及传输心智的植入装置。
data-spike	数据针	暂定·官方待核	所给英文底稿	A0641-B0100	数据装置，具体形制待核。
Wraithbone Neural Receivers	灵骨神经接收器	暂定·官方待核	所给英文底稿	A0641-B0106	沿本稿。
Pater Mutatis	变种之父	暂定·官方待核	所给英文底稿	A0641-B0054	由造物信仰催生的神性称谓。
Vesalius	维萨里号	暂定·官方待核	所给英文底稿	A0641-B0126	捕获的短剑级护卫舰，沿本稿。
Pulchritudinous	俊美号	暂定·官方待核	所给英文底稿	A0641-B0126	月级巡洋舰，沿本稿。
Butcher-Bird	屠夫之鸟号	暂定·官方待核	所给英文底稿	A0641-B0126	定制炮艇，沿本稿。
