英文标准词	采用中文	译名状态	依据	定位	编辑说明
Chamber of the Astronomican	星炬大厅	暂定·官方待核	所给英文底稿	篇989	建筑厅室，区别星炬庭组织。
Days of Blindness	失明之日	暂定·官方待核	所给英文底稿	篇989	原盲目之日，指星炬熄灭期。
Church of the Lightning Stone	雷石教堂	暂定·官方待核	所给英文底稿	篇990	沿现稿。
Lightning Stone	雷石	暂定·官方待核	所给英文底稿	篇990	传称有治疗能力的圣物，保留传闻语气。
Departmento Regia Interior	内廷事务署	暂定·官方待核	所给英文底稿	篇991	原译内政部；与Administratum不同机构。
Celantine Wall Section	塞兰廷墙段	暂定·官方待核	所给英文底稿	篇991	原天空墙段无英语依据。
Katabatic Wall Section	卡塔巴蒂墙段	暂定·官方待核	所给英文底稿	篇991	沿同名平原词根。
Principa Collegiate	普林基帕学院	暂定·官方待核	所给英文底稿	篇991	原主要大学；专名暂音译。
Imperial Dungeon	帝国地牢	暂定·官方待核	所给英文底稿	篇991	原帝国主塔；含地下王座厅和网道门，与Dark Cells另分。
Acensor’s Gate	飞升之门	暂定·官方待核	所给英文底稿	篇991	疑为Ascensor’s Gate异写，未断言同名已核。
The Forge of Flesh and Steel	血肉与钢铁熔炉	暂定·官方待核	所给英文底稿	篇991	原铁血铸造厂漏Flesh；专地名暂定。
Silver Door	白银之门	暂定·官方待核	所给英文底稿	篇992	王座厅最后一道门，沿原稿。
Obsidian Speculum	黑曜石窥镜	暂定·官方待核	所给英文底稿	篇992	观测装置，沿原稿。
Villas by the Lake	湖畔别墅	暂定·官方待核	所给英文底稿	篇992	原体规划居所，沿原稿。
Tarchese Malabreux	塔奇斯·马拉波	暂定·官方待核	所给英文底稿	篇994	沿现稿人物。
Grand Borealis Strategium	大北极战略室	暂定·官方待核	所给英文底稿	篇994	沿现稿设施。
Herodotus Omega Dome	希罗多德欧米伽穹顶	暂定·官方待核	所给英文底稿	篇996	沿原稿并统一Omega欧米伽。
Ta’lab Vita-37	塔’拉布·维塔-37	暂定·官方待核	所给英文底稿	篇996	沿原稿人物名。
The Ring (Luna)	防御环（月球）	暂定·官方待核	所给英文底稿	篇996	区分一般环带，原单字环。
Synod of Mars	火星议会	暂定·官方待核	所给英文底稿	篇997	沿原稿机构名。
Omnid Apertura	奥姆尼德·阿佩图拉	暂定·官方待核	所给英文底稿	篇997	原全向光环，暂音译地名。
Dodecai Elevatus Prime	多德凯升降设施一号	暂定·官方待核	所给英文底稿	篇997	具体功能待核，不由Dodecai直接断定十二。
Dodecai Elevatus Secundus	多德凯升降设施二号	暂定·官方待核	所给英文底稿	篇997	同系列名称。
Deus Manus Space Port	神之手太空港	暂定·官方待核	所给英文底稿	篇997	原权力之神，按词根修订。
