英文标准词	采用中文	译名状态	依据	定位	编辑说明
Healer’s Aegis	治愈者之盾	暂定·官方待核	所给英文底稿与全书统一决定	篇1377	首席药剂师的折射力场装置。
Boarding Shield	跳帮盾	暂定·官方待核	所给英文底稿与全书统一决定	篇1378	沿标题。
Breacher Shield	攻坚盾	暂定·官方待核	所给英文底稿与全书统一决定	篇1378	Boarding Shield别称；与攻坚小队词根一致。
Varinius	瓦里尼乌斯	暂定·官方待核	所给英文底稿与全书统一决定	篇1378	极限战士人名沿稿。
Combat Shield	战斗盾	暂定·官方待核	所给英文底稿与全书统一决定	篇1379	沿标题。
Deliverance pattern Combat Shield	拯救星型战斗盾	暂定·官方待核	所给英文底稿与全书统一决定	篇1379	型号词根沿拯救星。
Angel Artifice	天使精工	暂定·官方待核	所给英文底稿与全书统一决定	篇1380	圣物战甲名，原误作盾片。
Storm Shield	风暴盾	暂定·官方待核	所给英文底稿与全书统一决定	篇1381	沿标题。
Coriolis Pattern Power Shield	科里奥利型动力盾	暂定·官方待核	所给英文底稿与全书统一决定	篇1381	统一本篇图注与正文。
Sigilite Pattern Storm Shield	魔纹型风暴盾	暂定·官方待核	所给英文底稿与全书统一决定	篇1381	沿现稿型号名，不因近似Sigillite推定掌印者关联。
Dragonscale Pattern Storm Shield	龙鳞型风暴盾	暂定·官方待核	所给英文底稿与全书统一决定	篇1381	沿现稿。
Vigil Pattern Storm Shield	守夜型风暴盾	暂定·官方待核	所给英文底稿与全书统一决定	篇1381	沿现稿。
Shield Eternal	永恒之盾	暂定·官方待核	所给英文底稿与全书统一决定	篇1382	沿标题。
Riot Shield	防暴盾	暂定·官方待核	所给英文底稿与全书统一决定	篇1384	更正标题防爆盾错字。
Cardinal Xaphan	红衣主教萨凡	暂定·官方待核	所给英文底稿与全书统一决定	篇1376	人物名沿稿，Cardinal按既定职衔。
Carapace Armour	甲壳盔甲	暂定·官方待核	所给英文底稿与全书统一决定	篇1385	沿标题，区别防弹甲和动力盔甲。
Armaplas	塑甲	暂定·官方待核	所给英文底稿与全书统一决定	篇1385	材料暂名，不与Plasteel塑钢合并。
Hax-Orthlack MKIII Magistratum Combat Carapace	哈克斯—奥斯拉克 Mk.III 地方法务战斗甲壳盔甲	暂定·官方待核	所给英文底稿与全书统一决定	篇1385	制造商词根沿核心124x；地方执法机构区别帝国法务部。
Magistratum	地方执法机构	暂定·官方待核	所给英文底稿与全书统一决定	篇1385	辛提拉语境；组织具体中文名待核。
Vratine Power Armour	弗拉廷动力盔甲	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	沿既有弗拉廷系列武器词根。
Selenite void-mail	塞勒奈特虚空链甲	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	原月光石缺依据，暂音译，具体专名所指待核。
Malleus Power Armour	恶魔审判庭动力盔甲	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	按用途与用户决定，原圣锤动力盔甲。
Tricorn Palace	三角宫	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	沿现稿地点名。
Delphis Mk.II Ironclad Heavy Power Armour	德尔菲斯 Mk.II 铁甲重型动力盔甲	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	型号沿稿。
Ignatus pattern power armour	伊格纳图斯型动力盔甲	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	护甲型号，区别1268具名火焰手枪Ignatus伊格纳托斯。
Mechanicus Dragon Scale Armour	机械修会龙鳞盔甲	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	组织按已定译修正。
Magos Militant	战斗贤者	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	沿原稿专门职衔，待核。
Cybermantle	智控背架	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	暂按改造部件理解，具体构造待核，原智控斗篷。
Potentia Coil	源能线圈	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	技术祭司供能部件沿稿。
Lidhl Light Power Armour	利德尔轻型动力盔甲	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	型号沿稿。
Stormsuit	风暴战甲	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	原御寒型无功能依据，暂按名称与战斗用途。
Arkan Confederates	阿尔坎邦联军	暂定·官方待核	所给英文底稿与全书统一决定	篇1386	帝国卫队部队，原阿尔坎星盟。
