英文标准词	采用中文	译名状态	依据	定位	编辑说明
Exactis Extremis	第一级极等	暂定·官方待核	所给英文底稿	926 B0017	原第一级高等与 Exactis Excelsior 重复；暂作区分，不宣称官方等级顺序。
Techtriarchs	技术执政议会	暂定·官方待核	所给英文底稿	926 B0051	机械修会与行星政府人员组成的统治议会，原技术执政。
Chemdog	化学犬	暂定·官方待核	所给英文底稿	926 B0044	犬科动物后代；原化学狗，暂修动物称谓。
Lungspider	肺蛛	暂定·官方待核	所给英文底稿	926 B0046	巢都害虫。
The Magdan	马格丹	暂定·官方待核	所给英文底稿	926 B0035	行政区域。
Sohlsvod	索尔斯沃德	暂定·官方待核	所给英文底稿	926 B0035	行政区域。
Muskha	穆斯卡	暂定·官方待核	所给英文底稿	926 B0035	行政区域。
Turtolsky	图尔托斯基	暂定·官方待核	所给英文底稿	926 B0035	卫星。
Hive Ahropol	阿罗波尔巢都	暂定·官方待核	所给英文底稿	926 B0037	沿原名。
Hive Decius	德西乌斯巢都	暂定·官方待核	所给英文底稿	926 B0038	沿原名。
Hive Tzurka	祖尔卡巢都	暂定·官方待核	所给英文底稿	926 B0039	沿原名。
ossbohk-vyar	奥斯博克—维亚尔	暂定·官方待核	所给英文底稿	926 B0059	徒手格斗术。
chevek	切维克	暂定·官方待核	所给英文底稿	926 B0061	贬称外来者。
rahzvod	拉兹沃德	暂定·官方待核	所给英文底稿	926 B0063	酒类。
khek	凯克	暂定·官方待核	所给英文底稿	926 B0065	脏话；不译发誓。
ohxolosvennoy	奥索洛斯文诺伊	暂定·官方待核	所给英文底稿	926 B0067	格洛克斯肉粉饮料。
ushehk	乌舍克	暂定·官方待核	所给英文底稿	926 B0071	七弦乐器。
zadnik	扎德尼克	暂定·官方待核	所给英文底稿	926 B0073	设定内贬称，英文未解释具体词义，原鞋跟无据。
Sanctus (subsector)	圣洁次星区	暂定·官方待核	所给英文底稿	928 B0009	按层级统一次星区；不与 Port Sanctus 圣港等同形地点混并。
Sacred Isle	神圣岛	暂定·官方待核	所给英文底稿	928 B0019	阿拉里克主星主要大陆。
Justicars (Alaric Prime)	执法审判者	暂定·官方待核	所给英文底稿	928 B0019	骑士家族执法人员，区别其他阵营同名军职。
The Order (Caliban)	骑士团	暂定·官方待核	所给英文底稿；现稿上下文与既定词根	929 B0029	卡利班骑士组织自称，区别第11篇秩序政权。
Calibanite Jaegers	卡利班猎兵团	暂定·官方待核	所给英文底稿；现稿上下文与既定词根	929 B0046	太阳辅助军单位；Jaeger 此处为军队的猎兵，原贼鸥误用鸟类词义。
Gene-Phages	基因噬体	暂定·官方待核	所给英文底稿；现稿上下文与既定词根	929 B0044	沿326译名；英文未限细菌，不译噬菌体。
Aldurukh (fortress)	阿尔杜鲁赫要塞	暂定·官方待核	所给英文底稿；现稿上下文与既定词根	929 B0072	沿1567阿尔杜鲁赫山词根，堡垒与山体语境分开；原阿尔德鲁克。
Stormhold	风暴据点	暂定·官方待核	所给英文底稿；现稿上下文与既定词根	929 B0074	卡利班城市，沿原名。
Dordred Heath	多德雷德荒原	暂定·官方待核	所给英文底稿；现稿上下文与既定词根	929 B0076	斯托洛克聚居地区域。
Storrock	斯托洛克	暂定·官方待核	所给英文底稿；现稿上下文与既定词根	929 B0076	卡利班聚居地。
Waste World	荒废世界	暂定·官方待核	所给英文底稿	930 B0017	环境和资源状态分类，不因仍有人居住而改为无人世界；区别 Dead World 死寂世界。
Medusa IV (Iron Hands homeworld)	美杜莎四号	暂定·官方待核	所给英文底稿	930 B0005、0079	朦胧星域斯忒涅洛斯星系；区别极限星域另一颗同名行星。
Sthenelus System	斯忒涅洛斯星系	暂定·官方待核	所给英文底稿	930 B0011	沿现稿地名；另有舰名 Sthenelus 斯特涅洛斯号。
Legend of Sthenelus	《斯忒涅洛斯传说》	暂定·官方待核	所给英文底稿	930 B0031	沿同篇星系词根。
Felgarrthi Mountains	费尔加泽山脉	暂定·官方待核	所给英文底稿	930 B0041	与同名草原沿现稿统一。
Felgarrthi Steppe	费尔加泽草原	暂定·官方待核	所给英文底稿	930 B0045	同山脉词根。
The Eye of Medusa	美杜莎之眼	暂定·官方待核	所给英文底稿	930 B0043	钢铁议会会晤圣地。
Meduson (settlement)	梅杜森	暂定·官方待核	所给英文底稿	930 B0047	聚居地，与同形人名分列。
Spukarri	斯普卡里	暂定·官方待核	所给英文底稿	930 B0049	亦称暗影之地。
Oraanus Rocks	奥兰努斯岩	暂定·官方待核	所给英文底稿	930 B0053	山脊。
Trial of Rocks	岩石试炼	暂定·官方待核	所给英文底稿	930 B0053	新进者试炼。
Halls of Conquest	征服大厅	暂定·官方待核	所给英文底稿	930 B0055	钢铁之手机动陆地巨兽统称，数量疑点见注。
Telstarax	荒讯星环	暂定·官方待核	所给英文底稿	930 B0057	沿用现稿专名；环行星空间站。
Gorgon’s Forge	戈尔贡铸造厂	暂定·官方待核	所给英文底稿	930 B0059	科技秘库。
Oraanus	奥兰努斯	暂定·官方待核	所给英文底稿	930 B0061	氏族领地。
Mountain Yarrk	山地亚尔克	暂定·官方待核	所给英文底稿	930 B0065	动物而非山脉。
Ekfrasi	埃克弗拉西语	暂定·官方待核	所给英文底稿	930 B0072	美杜莎方言。
Tergiza	泰尔吉扎语	暂定·官方待核	所给英文底稿	930 B0074	美杜莎方言。
Heretic Tomes	异端典籍	暂定·官方待核	所给英文底稿	930 B0077	再版系列，原异端托姆斯误音译普通词。
Umberto II	翁贝托二世	暂定·官方待核	所给英文底稿	931 B0013	教宗，沿现稿。
Cholercaust Blood Crusade	怒火毁灭鲜血远征	暂定·官方待核	所给英文底稿	931 B0016	沿现稿远征名。
Corpus-Captain	战躯连长	暂定·官方待核	所给英文底稿	931 B0016	责难者专门职衔；原汇编连长误用文集义，全称暂定。
Zachariah Kersh	撒迦利亚·克什	暂定·官方待核	所给英文底稿	931 B0016	沿原人物名。
Obsequa City	奥布西夸城	暂定·官方待核	所给英文底稿	931 B0021	首都，沿原名。
Hyperia Hivesprawl	海珀利亚巢都扩区	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0040	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Saint's Haven	圣者之港	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0042	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Ring of Nothingless	无物之环	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0044	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Trinity Hives	三位一体巢都	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0046	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Industrial Enclaves	工业飞地	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0048	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Negation District	否定区	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0050	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Twin Chasms	双子裂隙	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0052	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Magentine Veils	品红帷幕	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0054	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Macro-Yard	宏船场	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0056	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Hubrion Sub-Sprawl	哈布里恩分扩区	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0058	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Triadine Plateau	特里亚丁高原	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0060	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Van Gollick Macrohighway	范·戈利克宏道	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0062	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Cape of Lost Causes	失落之岬	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0064	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Megaborealis	大北极光	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0066	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Black Levels	黑层	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0068	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
Bore-Hives	钻孔巢都	暂定·官方待核	所给英文底稿；与833—835已校地名对照	932 B0070	地点、构筑物或生物分类按本段语境，未查得官网直接中英对应。
