英文标准词	采用中文	译名状态	依据	定位	编辑说明
Exactas Minoris	第一级次等	暂定·官方待核	所给英文底稿与全书统一决定	第1076—1078篇	沿现稿或依英文校正；未取得官方中英对应。
Davian Thule	戴维安·图勒	暂定·官方待核	所给英文底稿与全书统一决定	第1076—1078篇	沿现稿或依英文校正；未取得官方中英对应。
Fultan Vualanti	伏尔坦·瓦兰提	暂定·官方待核	所给英文底稿与全书统一决定	第1076—1078篇	沿现稿或依英文校正；未取得官方中英对应。
House Vualanti	瓦兰提家族	暂定·官方待核	所给英文底稿与全书统一决定	第1076—1078篇	沿现稿或依英文校正；未取得官方中英对应。
Siege of Endymion Prime	恩底弥翁主星围城战	暂定·官方待核	所给英文底稿与全书统一决定	第1076—1078篇	沿现稿或依英文校正；未取得官方中英对应。
Doctrex Sector	多科特雷克斯星区	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Ghosarian System	戈萨瑞安星系	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Trysst Dynasty	特里斯特王朝	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Chaegryn	凯格林	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Curse of Unreason	无理诅咒号	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Great Pit	大坑	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Kill Team Excis	埃克西斯杀戮小队	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿393等既定名称，原稿别名切除杀戮小队；不依拉丁词义另造名称。
Exactis Excelsior	第一级高等	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Crimson Priesthood	深红祭司团	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Crimson Priests	深红祭司	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Sa'ra'am / Sar'ra'am	萨’拉’阿姆	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Sarum-pattern helmet	萨勒姆型头盔	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Antagonis	对抗星	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Hieronymous Theta	希罗尼穆斯·西塔	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Morda Prime	莫尔达一号	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Pranagar	帕拉那伽	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Serpent Spine	蛇脊	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Caradryad Sector	卡拉德里亚星区	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Chiros Sector	彻洛斯星区	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Corribra Sector	科里布拉星区	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Forsarr Sector	弗萨尔星区	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Khaldun Sector	赫勒敦星区	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Nemesys Sector	涅墨西斯星区	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Orpheus Sector	俄耳甫斯星区	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Reductus Sector	雷杜克图斯星区	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Scaephan Sector	斯卡法恩星区	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Uhulis Sector	乌胡利斯星区	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Ophelia System	奥菲利亚星系	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Dolan Chirosius	多兰·奇罗修斯	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Jan van Yastobaal	简·范·亚斯托巴尔	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
Bucharis	布查里斯	暂定·官方待核	所给英文底稿与全书统一决定	第1079—1085篇	沿现稿与既定地理词根；未取得官方对应，不根据词形推定同名实体。
I-Secundi	一级—中等	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Crown of Miracles	奇迹之冠	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Graian Crown	格拉亚之冠	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Laochan Gate	劳禅之门	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Mount Laochan	劳禅山	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Donorian Fiends	多诺里安恶魔	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Tumulus Samael	图穆卢斯·萨马尔	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Malum Caedo	马鲁姆·凯多	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Rust Fields	锈域	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Rust Fields War	锈域战争	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Aggamedes	阿加梅德斯	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Manufactorum Narses	纳尔塞斯铸造厂	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Manufactorum Ajakis	阿贾基斯铸造厂	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Stratum 79 Station	79层站	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Ajakis Access Basilica	阿贾基斯通路大教堂	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Orbital Spire	轨道尖塔	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Defence Battery Goliath	歌利亚防御阵列	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Kalkys Facility	卡尔基斯设施	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Drogan	德洛冈	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Andris Habitation Block	安德里斯居住区	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Bastion Primus	第一堡垒	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Rapier Laser Destroyer	细剑激光毁灭炮	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Trojan	特洛伊	暂定·官方待核	所给英文底稿与全书统一决定	第1086篇	依原文语境沿现稿；未取得官网完整名直接对应。
Hellhound	地狱犬战车	官方已核对	GW-09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW-10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW09/GW10均第8页；本稿第1079/1086篇	已逐项对读两份官方提取文本中的完整单位名，不依点数强配；型号与其他同形词分开。
Manticore	蝎尾狮导弹车	官方已核对	GW-09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW-10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW09/GW10均第8页；本稿第1079/1086篇	已逐项对读两份官方提取文本中的完整单位名，不依点数强配；型号与其他同形词分开。
Tempestus Scions	风暴忠嗣军	官方已核对	GW-09 https://assets.warhammer-community.com/chi_06-05_wh40k_core%26key_munitorum_field_manual-5mrlucr2t1-fkybzzzoce.pdf；GW-10 https://assets.warhammer-community.com/eng_warhammer40000_munitorum_field_manual_march_2025-cims9ya3sg-s8j9m2haae.pdf	GW09/GW10均第8页；本稿第1079/1086篇	已逐项对读两份官方提取文本中的完整单位名，不依点数强配；型号与其他同形词分开。
Solutio Tetrious	第三级初等	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Ambull	安布尔	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Simia Orichalcae	西米亚·奥利哈康	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Mica-dragon	云母龙	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Slasher Beast	杀戮兽	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Sunworm	太阳蠕虫	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Gas Fungus	气体真菌	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Black Planet	黑星	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Uriah Jacobus	乌利亚·雅各布斯	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Bakkan Irregulars	巴卡非正规军	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
House Cadmus	卡德摩斯家族	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Golem Keep	魔像要塞	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Cull (Raisa)	捕杀	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Arcanadonts	秘牙兽	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Pit Rats	坑鼠	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Harnish	哈尼什	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Fafnir Rann	法夫尼尔·兰恩	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Violeta Roskavler	维奥莱塔·罗斯卡夫勒	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Feast of Blades	刀锋盛宴	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Barbarus System	巴巴鲁斯星系	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Wall of Memory	记忆之墙	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Overlords (Barbarus)	霸主	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
The Lords of Silence	寂静领主	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Praetoria System	普雷托利亚星系	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Praetorian Imperial Guard	普雷托利亚帝国卫队	暂定·官方待核	所给英文底稿与全书统一决定	第1087—1095篇	沿现稿并依既定词根统一；未取得官方中英对应，具体实体见正文。
Gryphonne System	格里芬星系	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Gryphonne Octad	格里芬八域	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Gryphonnen Empire	格里芬帝国	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
War Gryphons	战争狮鹫	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Tygra	泰格拉	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Orymous	奥瑞穆斯	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Trantus Kiaron	特兰托斯·基亚伦	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Arcophili Zane	阿尔科菲利·赞恩	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Katrovax	卡特罗瓦克斯	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Supreme Lector	至高讲师	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Anquaris	安奎里斯	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Logos (Ark Mechanicus)	逻各斯号	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Explorator Fleet Rhi-Alpha-2	瑞-阿尔法-2 探索舰队	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Kurzgesagt	简而言之号	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Vostroyan 103rd Firstborn	沃斯特洛亚第103长子团	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Blackbloods	黑血	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Atranis	阿特拉尼斯号	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Edgar Lorristan	埃德加·洛里斯坦	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Sevarista	塞瓦斯蒂安	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Simurghal	西摩格尔	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Basilica Gryphonicus	狮鹫大教堂	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Hermeticon's War	赫尔墨斯战争	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Prime Unitary System	本原统一单位制	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Hexamantic Constant	六重秘术常数	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Nheren's Dome	涅伦穹顶	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Shirdal Choir	希尔达尔唱诗班	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Gyptian Gate	吉普提亚之门	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Attaxic Quarter	阿塔西克区	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Dioscuri	狄俄斯库里	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Dioscuri-Alpha	狄俄斯库里—阿尔法	暂定·官方待核	所给英文底稿与全书统一决定	第1096篇	沿现稿或据英文语境修正；未取得官方中英名称对应，疑点见校注。
Zhao System	赵星系	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Praetor Armoured Assault Launcher	执政官装甲突击发射器	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
First Conjunction	第一次合相	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Second Conjunction	第二次合相	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Kiarii	基亚里	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Eminarii	埃米纳里	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Crassus Armoured Transport	克拉苏装甲运输车	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Lords Dragon	火龙领主	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Convent Sanctorum	圣地修道院	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
arco-flagellation	电弧鞭笞	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
death-masking	死亡面具	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
soul-scouring	灵魂洗炼	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Trial of Castigation	惩戒试炼	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Astra Ministra	星界教会	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Saint Praxedes	圣普拉克西德斯	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Helena the Virtuous	高尚者海伦娜	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Tyrant of Blueflame	蓝焰暴君	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Armond Montfort	阿蒙德·蒙特福特	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
Kol Rakhul	科尔·拉库尔	暂定·官方待核	所给英文底稿与全书统一决定	第1097—1098篇	沿现稿或依原文语义修正；未取得官网译名证据，具体适用范围见校注。
