英文标准词	采用中文	译名状态	依据	定位	编辑说明
Ogryn Bodyguard	欧格林保镖	官方已核对	GW-04	GW-04 中文与 GW-11 英文 PDF 第27页	
Grenadier gauntlet	榴弹臂铠	官方已核对	GW-04	GW-04 中文与 GW-11 英文 PDF 第27页	
Bullgryn maul	牛格林巨槌	官方已核对	GW-04	GW-04 中文与 GW-11 英文 PDF 第27页	
Brute Shield	简易护盾	官方已核对	GW-04	GW-04 中文与 GW-11 英文 PDF 第27页	
Slabshield	厚重盾牌	官方已核对	GW-04	GW-04 中文与 GW-11 英文 PDF 第27页	
Nork Deddog	保镖诺克	官方已核对	GW-04	GW-04 中文与 GW-11 英文 PDF 第29页	
Bullgryn	牛格林	官方已核对	GW-04	GW-04 中文与 GW-11 英文 PDF 第56页	
Militarum Auxilla	军务辅助部队	暂定·官方待核	所给英文底稿	篇 0025	
Gun Lugger	重枪手	暂定·官方待核	所给英文底稿	篇 0025	
Karg	卡尔格	暂定·官方待核	所给英文底稿	篇 0025	
Clodde	克洛德	暂定·官方待核	所给英文底稿	篇 0025	
Castor	卡斯托	暂定·官方待核	所给英文底稿	篇 0025	
Vance Stubbs	万斯·斯塔布斯	暂定·官方待核	所给英文底稿	篇 0025	
Doran Farrier	多兰·法里尔	暂定·官方待核	所给英文底稿	篇 0025	
Kaurava Campaign	考拉瓦战役	暂定·官方待核	所给英文底稿	篇 0025	
Lukas Alexander	卢卡斯·亚历山大	暂定·官方待核	所给英文底稿	篇 0025	
Anton Gebbet	安东·盖贝特	暂定·官方待核	所给英文底稿	篇 0025	
Third Aurelian Crusade	第三次奥瑞利安远征	暂定·官方待核	所给英文底稿	篇 0025	
Ogryn Charonite	喀戎欧格林	暂定·官方待核	所给英文底稿	篇 0025	
Savlar Chem-Dogs	萨夫拉化学犬	暂定·官方待核	所给英文底稿	篇 0025	
Kanak Skull Takers	卡纳克夺颅者	暂定·官方待核	所给英文底稿	篇 0025	
Krourk Ogryn Auxilia	克鲁克欧格林辅助军	暂定·官方待核	所给英文底稿	篇 0025	
Monglor Ogryn Auxilia	蒙格勒欧格林辅助军	暂定·官方待核	所给英文底稿	篇 0025	
Cassia	卡西亚	暂定·官方待核	所给英文底稿	篇 0025	
Falx	法克斯	暂定·官方待核	所给英文底稿	篇 0025	
Awakened Ogryns	觉醒欧格林	暂定·官方待核	所给英文底稿	篇 0025	
Ghast	恶魂	暂定·官方待核	所给英文底稿	篇 0025	
Wyrd	灵能异人	暂定·官方待核	所给英文底稿	篇 0025	
Ursan Graves	乌尔桑·格雷夫斯	暂定·官方待核	所给英文底稿	篇 0025	
House Helmawr	赫尔玛沃家族	暂定·官方待核	所给英文底稿	篇 0025	
Ogryn Brutes	欧格林蛮汉	暂定·官方待核	所给英文底稿	篇 0025	
Traitor Ogryn	叛徒欧格林	暂定·官方待核	所给英文底稿	篇 0025	
Ogryn Berserkers	欧格林狂战士	暂定·官方待核	所给英文底稿	篇 0025	
Plague Ogryns	瘟疫欧格林	暂定·官方待核	所给英文底稿	篇 0025	
Servitor-Ogryn	欧格林机仆	暂定·官方待核	所给英文底稿	篇 0025	
H-Grade Combat Servitor	H 级战斗机仆	暂定·官方待核	所给英文底稿	篇 0025	
"Cork ""The Barrack"" Balderston"	“兵营”科克·鲍尔德斯顿	暂定·官方待核	所给英文底稿	篇 0025	
Dorg	多格	暂定·官方待核	所给英文底稿	篇 0025	
Gren Broggan	格伦·布朗根	暂定·官方待核	所给英文底稿	篇 0025	
Nod	诺德	暂定·官方待核	所给英文底稿	篇 0025	
Rogg	罗格	暂定·官方待核	所给英文底稿	篇 0025	
Sparky III	斯帕基三号	暂定·官方待核	所给英文底稿	篇 0025	
Hrom	霍姆	暂定·官方待核	所给英文底稿	篇 0025	
Krourk	克鲁克	暂定·官方待核	所给英文底稿	篇 0025	
