英文标准词	采用中文	译名状态	依据	定位	编辑说明
Chief Librarian	首席智库员	暂定·官方待核	所给英文底稿	篇 0251—0297	参考 Chief Librarian Mephiston／首席智库员墨菲斯顿（GW-09/GW-10第11页）；官名首席智库狄格里斯保留固定形式。
Librarium	智库馆	暂定·官方待核	所给英文底稿	篇 0251—0297	按已逐段核读的具体语境统一；同形普通词不自动替换。
Librarius	智库	暂定·官方待核	所给英文底稿	篇 0251—0297	机构语境为智库；灵能学派语境为智库学派，按语境分开。
Host of Pentacles	五芒天军	暂定·官方待核	所给英文底稿	篇 0251—0297	按已逐段核读的具体语境统一；同形普通词不自动替换。
Librarius Discipline	智库学派	暂定·官方待核	所给英文底稿	篇 0251—0297	按已逐段核读的具体语境统一；同形普通词不自动替换。
Technomancy	科技学派	暂定·官方待核	所给英文底稿	篇 0251—0297	按已逐段核读的具体语境统一；同形普通词不自动替换。
Fulmination	雷霆学派	暂定·官方待核	所给英文底稿	篇 0251—0297	按已逐段核读的具体语境统一；同形普通词不自动替换。
Geokinesis	控地学派	暂定·官方待核	所给英文底稿	篇 0251—0297	按已逐段核读的具体语境统一；同形普通词不自动替换。
Vanguard Librarian	先锋智库员	暂定·官方待核	所给英文底稿	篇 0251—0297	按已逐段核读的具体语境统一；同形普通词不自动替换。
Epistolary	星语官	暂定·官方待核	所给英文底稿	篇 0251—0297	按已逐段核读的具体语境统一；同形普通词不自动替换。
Codicier	典记员	暂定·官方待核	所给英文底稿	篇 0251—0297	按已逐段核读的具体语境统一；同形普通词不自动替换。
Lexicanium	编修员	暂定·官方待核	所给英文底稿	篇 0251—0297	按已逐段核读的具体语境统一；同形普通词不自动替换。
Acolytum	侍僧	暂定·官方待核	所给英文底稿	篇 0251—0297	按已逐段核读的具体语境统一；同形普通词不自动替换。
Master of Sanctity	圣洁导师	暂定·官方待核	所给英文底稿	篇 0251—0297	按已逐段核读的具体语境统一；同形普通词不自动替换。
